index,stem,choices,true_label,model_reply,extracted_key,predicted_label,correct
<built-in function id>,what usually used for fun and is usually located at toy store,exercising | salesperson | chess set,2,C,C,2,1
<built-in function id>,what is part of transistor and is related to collection,treasury | emitter | collector,2,C,C,2,1
<built-in function id>,what is related to nomenclature and is related to call,name | nomenclator | telephone line,0,A,A,0,1
<built-in function id>,what is related to title and is related to call,duke | telephone line | name,2,C,C,2,1
<built-in function id>,what is related to perfect and is related to literal,unblemished | exact | unrhetorical,1,B,B,1,1
<built-in function id>,what is usually located at restaurant and is usually located at backyard,bbq | silverware | swimming pool,0,A,A,0,1
<built-in function id>,what usually used for catching fish and has a prerequisite of water,fishing | net | having shower,0,A,A,0,1
<built-in function id>,what has a prerequisite of water and usually used for fun,fishing | washing hands | seeing people play game,0,A,A,0,1
<built-in function id>,what usually used for exercise and may cause injuries,car accident | playing basketball | hiking,1,B,B,1,1
<built-in function id>,what may cause injuries and may cause having fun,falling | going to party | playing basketball,2,C,C,2,1
<built-in function id>,what is usually located at military base and is usually located at city,medic | runway | condo,1,B,B,1,1
<built-in function id>,what has a prerequisite of patience and usually used for doing research,learning about subject | sitting quietly | going on internet,0,B,B,1,0
<built-in function id>,what is usually located at bookstore and is usually located at backpack,camping supplies | bookmarkers | notebook,2,C,C,2,1
<built-in function id>,what is usually located at bookstore and is usually located at class,notebook | demonstration | bookmarkers,0,C,C,2,0
<built-in function id>,what is usually located at backpack and is usually located at class,compass | demonstration | notebook,2,C,C,2,1
<built-in function id>,what usually used for fun and has a subevent of close eyes,kissing | praying | discothque,0,C,C,2,0
<built-in function id>,what may cause love and has a subevent of close eyes,going into trance | kissing | meeting girls,1,B,B,1,1
<built-in function id>,what is part of appendicular skeleton and is part of tree,pectoral girdle | bark | limb,2,C,C,2,1
<built-in function id>,what may cause eat and has a subevent of read,see exciting story | feed | following recipe,2,C,C,2,1
<built-in function id>,what may cause dinner and has a subevent of read,following recipe | cooking meal | seeing story,0,B,B,1,0
<built-in function id>,what has a subevent of whistle and has a prerequisite of time,having pee | waiting in line | having lunch,1,A,A,0,0
<built-in function id>,what usually used for buying tickets and has a subevent of talking,waiting in line | communicating | ticket office,0,C,C,2,0
<built-in function id>,what is related to result and is usually located at store,shopping basket | answer | product,2,B,B,1,0
<built-in function id>,what is usually located at city and is usually located at university,buildings | bus station | students,0,A,A,0,1
<built-in function id>,what is usually located at university and has windows,education | buildings | cars,1,B,B,1,1
<built-in function id>,what has a prerequisite of join army and has a prerequisite of weapon,commit murder | have physical exam | fight enemy,2,C,C,2,1
<built-in function id>,what has a last subevent of stop talking and has a subevent of remember,memorize | have conversation | tell story,2,B,B,1,0
<built-in function id>,what has a subevent of tell lie and has a subevent of hold attention,entertaining | committing perjury | tell story,2,C,C,2,1
<built-in function id>,what has a subevent of tell lie and has a subevent of entertain,seeing movie | committing perjury | tell story,2,C,C,2,1
<built-in function id>,what usually used for making music and has a prerequisite of fingers,typing | playing harp | bagpipes,1,B,B,1,1
<built-in function id>,what usually used for making music and usually used for having fun,percussion instrument | riding bike | playing harp,2,A,A,0,0
<built-in function id>,what has a prerequisite of internet connection and usually used for entertainment,surfing net | playing chess | sending e mail,0,A,A,0,1
<built-in function id>,what has a subevent of ask question and has a subevent of laughing,determining truth | enjoying film | talking,2,C,C,2,1
<built-in function id>,what has a subevent of ask question and has a prerequisite of mouth,eating vegetables | determining truth | talking,2,C,C,2,1
<built-in function id>,what has a subevent of ask question and may cause sore throat,talking | singing | determining truth,0,A,A,0,1
<built-in function id>,what has a subevent of close eyes and has a prerequisite of faith,sneeze | praying | belief in god,1,B,B,1,1
<built-in function id>,what has a subevent of kneel and has a prerequisite of faith,belief in god | proposing to woman | praying,2,C,C,2,1
<built-in function id>,what may cause relief and has a prerequisite of faith,emptying bladder | belief in god | praying,2,B,B,1,0
<built-in function id>,what is related to willing and is related to oblique,ready | convergent | inclined,2,C,C,2,1
<built-in function id>,what has a prerequisite of have pen and is motivated by a goal of you're bored,watch television | pay by check | do crossword puzzle,2,C,C,2,1
<built-in function id>,what has a prerequisite of think and has a prerequisite of buy newspaper,analyse | do crossword puzzle | read news,1,C,C,2,0
<built-in function id>,what has a prerequisite of sharpen pencil and is motivated by a goal of you're bored,do crossword puzzle | have conversation | take examination,0,A,A,0,1
<built-in function id>,what has a prerequisite of sleep and usually used for having sex,going to bed | meeting girls | gather energy for tomorrow,0,A,A,0,1
<built-in function id>,what has a prerequisite of turn on tv and has a prerequisite of buy tickets,see favorite show | watch television | go to opera,0,A,A,0,1
<built-in function id>,what may cause injury and usually used for drive,compact | falling | ambulance,2,B,B,1,0
<built-in function id>,what causes desire of fish and has a property of painful,hunger | owning boat | burnt skin,0,C,C,2,0
<built-in function id>,what is motivated by a goal of lose weight and has a prerequisite of go to park,see people play game | eat vegetables | go for run,2,C,C,2,1
<built-in function id>,what has a prerequisite of speak and has a subevent of write down,communicate | create idea | express information,2,C,C,2,1
<built-in function id>,what has a subevent of talk and has a subevent of write down,communicating | express information | create idea,1,B,B,1,1
<built-in function id>,what has a prerequisite of talk and has a subevent of write down,communicate | creating idea | express information,2,C,C,2,1
<built-in function id>,what is related to definition and is usually located at library,define | newspapers | dictionary,2,C,C,2,1
<built-in function id>,what is related to hole and is related to skin,peel | pore | cave,1,B,B,1,1
<built-in function id>,what may cause relaxation and may cause getting wet,washing car | resting | soaking in hotspring,2,C,C,2,1
<built-in function id>,what may cause relaxation and may cause burns,starting fire | enjoying company of friends | soaking in hotspring,2,C,C,2,1
<built-in function id>,what usually used for relaxation and may cause burns,starting fire | soaking in hotspring | meditation,1,B,B,1,1
<built-in function id>,what usually used for grinding and is part of mouth,lingual vein | mill | tooth,2,C,C,2,1
<built-in function id>,what is usually located at mouth and is part of gear,cog | tooth | saliva,1,B,B,1,1
<built-in function id>,what has a subevent of laughter and has a subevent of have sex,tickling | have fun | start family,1,A,A,0,0
<built-in function id>,what is usually located at boat and is usually located at backpack,sleeping bag | rope | captain and crew,1,B,B,1,1
<built-in function id>,what is motivated by a goal of cold and has a prerequisite of get matches,start fire | strike match | put on sweater,0,B,B,1,0
<built-in function id>,what is usually located at amusement park and usually used for blowing up,turnstile | toy balloon | grenade,1,B,B,1,1
<built-in function id>,what usually used for blowing up and is usually located at circus,monkey | grenade | toy balloon,2,C,C,2,1
<built-in function id>,what may cause praise and has a subevent of studying,getting good grade | pleasing parents | passing university exams,0,A,A,0,1
<built-in function id>,what has a subevent of studying and may cause feel good,passing university exams | helping | getting good grade,2,C,C,2,1
<built-in function id>,what has a prerequisite of lots of studying and may cause feel good,getting good grade | making people laugh | passing university exams,0,A,A,0,1
<built-in function id>,what is related to submissive and is related to inferior,unassertive | subordinate | low,1,B,B,1,1
<built-in function id>,what usually used for enjoyment and has a prerequisite of eyes,going on vacation | looking through telescope | watching film,2,C,C,2,1
<built-in function id>,what has a subevent of falling asleep and usually used for entertainment,playing chess | watching film | resting,1,B,B,1,1
<built-in function id>,what usually used for relaxation and has a prerequisite of eyes,watching film | looking through telescope | going outside for evening,0,A,A,0,1
<built-in function id>,what is usually located at sky and is usually located at military base,mess hall | airplane | stars,1,B,B,1,1
<built-in function id>,what usually used for listen to music and has a subevent of have fun,mp3 player | playing ball | seeing band,2,A,A,0,0
<built-in function id>,what is related to set and is related to somewhere,ready | place | away,1,B,B,1,1
<built-in function id>,what is usually located at closet and is usually located at space,vacuum | clothes | aliens,0,B,B,1,0
<built-in function id>,what is capable of clean floor and is usually located at space,mop | vacuum | pluto,1,B,B,1,1
<built-in function id>,what is part of camera and is part of eye,lens | lacrimal vein | finder,0,A,A,0,1
<built-in function id>,what is related to worker and is related to give,return | employ | production line,1,B,B,1,1
<built-in function id>,what is motivated by a goal of express love and has a prerequisite of brush teeth,kiss | eat breakfast | buy for loved one,0,A,A,0,1
<built-in function id>,what has a prerequisite of brush teeth and has a subevent of fall in love,eat breakfast | when meet | kiss,2,C,C,2,1
<built-in function id>,what is part of school year and is part of hundredweight,centner | semester | quarter,2,B,B,1,0
<built-in function id>,what is part of united states and is part of transcaucasia,rhode island | azerbaijan | georgia,2,C,C,2,1
<built-in function id>,what is usually located at mall and is usually located at high school,candy | teenagers | senior,1,B,B,1,1
<built-in function id>,what is related to speed and is related to interest,rate | behalf | accelerator,0,A,A,0,1
<built-in function id>,what is usually located at tide pool and is usually located at salad,crab | potato | anemone,0,C,C,2,0
<built-in function id>,what is usually located at bottom of sea and is usually located at salad,ship wreck | potato | crab,2,C,C,2,1
<built-in function id>,what is usually located at salad and is usually located at rocks,potato | crab | lizard,1,B,B,1,1
<built-in function id>,what has a prerequisite of get job and has a prerequisite of start car,wait tables | drive to work | drive car,1,C,C,2,0
<built-in function id>,what has a property of unhealthy and has a subevent of inhale,breathe | eating fast food | smoking,2,C,C,2,1
<built-in function id>,what is usually located at garage and usually used for privacy,dressing room | door with lock | old tires,1,B,B,1,1
<built-in function id>,what has a subevent of cry and has a subevent of going to doctor,knowing if re healthy | sick | expressing yourself,1,B,B,1,1
<built-in function id>,what is usually located at sentence and is usually located at newspaper,verb | ads | words,2,B,B,1,0
<built-in function id>,what may cause injuries and has a subevent of having fun,skating | dancing | car accident,0,A,A,0,1
<built-in function id>,what has a prerequisite of buy ticket and is motivated by a goal of entertainment,fly in airplane | watch movie | listen to music,1,B,B,1,1
<built-in function id>,what is related to neptune and is related to horse,neptunium | centaur | mule,1,B,B,1,1
<built-in function id>,what may cause regret and has a prerequisite of trust,loving else | intoxication | getting contract,0,A,A,0,1
<built-in function id>,what may cause happiness and has a prerequisite of trust,loving else | getting contract | buying presents,0,A,A,0,1
<built-in function id>,what usually used for keeping fit and usually used for fun,maintaining muscle strength | playing sport | tickling,1,B,B,1,1
<built-in function id>,what usually used for keeping fit and may cause fun,playing game with friends | maintaining muscle strength | playing sport,2,C,C,2,1
<built-in function id>,what has bones and desires play,whales | cats | kids,1,B,B,1,1
<built-in function id>,what is related to town and is related to weight,ton | main street | gain,0,A,A,0,1
<built-in function id>,what usually used for relaxing and may cause clean,seeing movie | washing car | bathing,2,C,C,2,1
<built-in function id>,what may cause clean and has a subevent of getting wet,surfing | doing housework house | bathing,2,C,C,2,1
<built-in function id>,what is usually located at barn and is usually located at bathroom,sculpting gel | hay | stall,2,B,B,1,0
<built-in function id>,what is usually located at barn and is usually located at market,weasel | stall | carrots,1,B,B,1,1
<built-in function id>,what is usually located at war and may cause sadness,george bush | hurting else | death,2,C,C,2,1
<built-in function id>,what is related to mortal and is related to profane,profanity | finite | earthly,2,C,C,2,1
<built-in function id>,what is related to worldly and is related to profane,man about town | profanity | earthly,2,C,C,2,1
<built-in function id>,what usually used for having fun and may cause injuries,seeing band | playing lacrosse | falling,1,B,B,1,1
<built-in function id>,what causes desire of watch tv show and has a property of bad,boredom | being bored | trash,0,A,A,0,1
<built-in function id>,what causes desire of play game with friends and has a property of bad,downloading online game | boredom | stealing,1,B,B,1,1
<built-in function id>,what causes desire of see exciting story and has a property of bad,need for entertainment | cruelty | boredom,2,A,A,0,0
<built-in function id>,what causes desire of play game and has a property of bad,boredom | being bored | stealing,0,A,A,0,1
<built-in function id>,what is usually located at texas and usually used for living in,snake | buying house | ranch house,2,C,C,2,1
<built-in function id>,what is related to going and is related to keyboard,continue | type | enter,2,C,C,2,1
<built-in function id>,what is related to keyboard and is related to come,enter | typewriter | return,0,C,C,2,0
<built-in function id>,what is related to camping and is related to oil,castor | tent | lantern,2,C,C,2,1
<built-in function id>,what is usually located at museum and has a property of sharp,sword | getting stabbed with knife | artifact,0,A,A,0,1
<built-in function id>,what is usually located at town and is related to structure,structural | place to eat | building,2,C,C,2,1
<built-in function id>,what usually used for hair and is usually located at purse,checkbook holder | comb | gel,1,B,B,1,1
<built-in function id>,what is usually located at pocket and usually used for styling hair,ticket | comb | hair gel,1,B,B,1,1
<built-in function id>,what is usually located at purse and usually used for styling hair,checkbook | comb | sculpting gel,1,B,B,1,1
<built-in function id>,what is usually located at city and usually used for playing music,acoustic guitar | taxis | symphony hall,2,C,C,2,1
<built-in function id>,what usually used for play and has a subevent of fall,jumping out of window | yoyo | jumping rope,2,C,C,2,1
<built-in function id>,what has a subevent of fall and may cause sweating,trip | playing sports | jumping rope,2,A,A,0,0
<built-in function id>,what has a subevent of sleeping and has a subevent of listening to music,seeing band | go into coma | relaxing,2,C,C,2,1
<built-in function id>,what usually used for thinking and is part of human body,brain | larynx | cogitating,0,A,A,0,1
<built-in function id>,what is usually located at box and is usually located at internet cafe,chat room | birthday present | monitor,2,C,C,2,1
<built-in function id>,what is usually located at water fountain and is usually located at house,thirsty person | plumbing | couch,1,B,B,1,1
<built-in function id>,what is usually located at newspaper and usually used for solving,weather reports | thinking | puzzle,2,C,C,2,1
<built-in function id>,what is usually located at newspaper and is usually located at toy store,opinion | puzzle | toy car,1,B,B,1,1
<built-in function id>,what usually used for solving and is usually located at toy store,slinkies | puzzle | thinking,1,B,B,1,1
<built-in function id>,what usually used for distraction and is usually located at toy store,batz maru dolls | puzzle | hearing music,1,B,B,1,1
<built-in function id>,what has a subevent of count and has a subevent of have fun,seeing band | paying cash | play cards,2,C,C,2,1
<built-in function id>,what usually used for having fun and has a prerequisite of talent,entertaining | creating art | sports equipment,0,B,B,1,0
<built-in function id>,what is capable of crash and is usually located at sky,star | airplanes | cars,1,B,B,1,1
<built-in function id>,what usually used for transport and is related to master,mistress | bike | yacht,2,B,B,1,0
<built-in function id>,what is usually located at car and is capable of board ship,passengers | brake | pirate,0,A,A,0,1
<built-in function id>,what has a prerequisite of have eyes and has a subevent of eat popcorn,look through telescope | going to film | watch film,2,C,C,2,1
<built-in function id>,what has a prerequisite of go to bar and has a subevent of paying money,buy beer | gaining more land | drink alcohol,0,A,A,0,1
<built-in function id>,what usually used for learning and has a prerequisite of patience,piece of information | waiting on line | teaching other people,2,C,C,2,1
<built-in function id>,what usually used for getting revenge and has a prerequisite of hands,preparing for vote | killing people | punching,2,C,C,2,1
<built-in function id>,what has a subevent of sign and has a subevent of get money,get contract | paint picture | get paid,0,C,C,2,0
<built-in function id>,what is usually located at swimming pool and is capable of dry hair,towel | lifeguards | hair dryer,0,C,C,2,0
<built-in function id>,what is usually located at swimming pool and usually used for dry dishes,lifeguard | towel | cloth,1,C,C,2,0
<built-in function id>,what is related to fore and is related to progressive,front | forward | industrial,1,B,B,1,1
<built-in function id>,what has a prerequisite of read book and is motivated by a goal of fun,play game | learn new | study,1,A,A,0,0
<built-in function id>,what has a prerequisite of ask questions and has a prerequisite of go to school,discover truth | receive degree | learn new,2,C,C,2,1
<built-in function id>,what is motivated by a goal of fun and has a prerequisite of go to school,learn new | surf | receive degree,0,B,B,1,0
<built-in function id>,what has a prerequisite of turn on radio and has a subevent of dancing,listen to radio | hear music | go to party,1,B,B,1,1
<built-in function id>,what is usually located at subway and is usually located at library,index card cabinet | newspaper | ticket turnstile,1,B,B,1,1
<built-in function id>,what may cause death and has a subevent of pain,having heart attack | coffin | exercising,0,A,A,0,1
<built-in function id>,what may cause happiness and has a subevent of talk,loving another | make phone call | enjoying company of friends,2,C,C,2,1
<built-in function id>,what may cause relaxation and has a subevent of talk,enjoying company of friends | communicating | having bath,0,C,C,2,0
<built-in function id>,what may cause relaxation and has a subevent of laughter,taking walk | enjoying company of friends | pretend,1,B,B,1,1
<built-in function id>,what has a subevent of pay for and may cause getting drunk,buy house | buying beer | going to party,1,B,B,1,1
<built-in function id>,what has a subevent of learning and usually used for fun,visiting museum | read book | playing game with friends,0,C,C,2,0
<built-in function id>,what is usually located at fork in road and is usually located at demonstration,road sign | protesters | signs,2,A,A,0,0
<built-in function id>,what is usually located at freeway and is usually located at demonstration,speaker | signs | cars,1,B,B,1,1
<built-in function id>,what usually used for opening doors and is usually located at purse,checkbook cover | knob | key,2,C,C,2,1
<built-in function id>,what usually used for opening doors and is part of basketball court,key | knob | free throw lane,0,B,B,1,0
<built-in function id>,what usually used for open door and is part of florida,handle | key | biscayne national park,1,B,B,1,1
<built-in function id>,what usually used for open door and is part of basketball court,key | handle | free throw lane,0,B,B,1,0
<built-in function id>,what is part of florida and is usually located at purse,checkbook cover | daytona beach | key,2,C,C,2,1
<built-in function id>,what is part of florida and usually used for close,key | lock | okeechobee,0,A,A,0,1
<built-in function id>,what is part of florida and is related to lock,key | melbourne | latch,0,A,A,0,1
<built-in function id>,what is part of florida and usually used for opening door,key | door knob | west palm beach,0,A,A,0,1
<built-in function id>,what is usually located at purse and usually used for opening door,coins | door knob | key,2,C,C,2,1
<built-in function id>,what is usually located at purse and is part of basketball court,key | free throw lane | cheque book holder,0,B,B,1,0
<built-in function id>,what is part of automobile and is usually located at attic,engine | trunk | old clothes,1,B,B,1,1
<built-in function id>,what is usually located at car and is usually located at attic,battery | trunk | truss joists,1,C,C,2,0
<built-in function id>,what has a prerequisite of plug in and is motivated by a goal of entertained,use television | see favorite show | use computer,0,B,B,1,0
<built-in function id>,what is motivated by a goal of bored and has a prerequisite of have electricity,use television | use computer | play games,0,C,C,2,0
<built-in function id>,what is motivated by a goal of entertained and has a prerequisite of have electricity,use computer | enjoy film | use television,2,C,C,2,1
<built-in function id>,what has a prerequisite of plan and has a subevent of get arrested,commit murder | disobey law | destroy enemy,0,B,B,1,0
<built-in function id>,what is related to undamaged and is related to continuous,continual | uninjured | unbroken,2,C,C,2,1
<built-in function id>,what has a prerequisite of put on clothes and is motivated by a goal of see stars,get warm | look through telescope | go outside for evening,2,C,C,2,1
<built-in function id>,what is motivated by a goal of see stars and has a prerequisite of get dressed,go to party | look through telescope | go outside for evening,2,C,C,2,1
<built-in function id>,what is related to rough and is related to unsystematic,irregular | unfinished | disorganized,0,A,A,0,1
<built-in function id>,what usually used for eat chinese food and is usually located at cities,chinese restaurant | chopsticks | cemetery,0,A,A,0,1
<built-in function id>,what usually used for eat chinese food and is usually located at china,chinese restaurant | communism | chopsticks,0,C,C,2,0
<built-in function id>,what usually used for eat chinese food and is usually located at new york,chopsticks | chinese restaurant | subway station,1,A,A,0,0
<built-in function id>,what has a subevent of dance and has a prerequisite of ears,hearing news | going to party | listening to music,2,C,C,2,1
<built-in function id>,what has a subevent of dance and has a subevent of fall asleep,listening to music | watching movie | see band,0,C,C,2,0
<built-in function id>,what has a subevent of dance and may cause fall asleep,watching tv show | listening to music | see band,1,C,C,2,0
<built-in function id>,what has a prerequisite of ears and usually used for dancing,listening to music | hearing news | disco,0,C,C,2,0
<built-in function id>,what has a subevent of fall asleep and usually used for dancing,listening to music | using television | castanets,0,C,C,2,0
<built-in function id>,what is part of helicopter and is part of distributor,rotor | landing skids | capacitor,0,A,A,0,1
<built-in function id>,what usually used for teaching and is usually located at newspaper,text | classroom | classified advertisements,0,C,C,2,0
<built-in function id>,what is part of canada and is part of tennessee,columbia | yukon | memphis,0,B,B,1,0
<built-in function id>,what has a subevent of feel guilty and has a subevent of blush,get away with crime | lying | meet girls,1,B,B,1,1
<built-in function id>,what usually used for hiding truth and has a subevent of blush,meet girls | committing perjury | lying,2,C,C,2,1
<built-in function id>,what has a prerequisite of imagination and has a subevent of blush,lying | creating idea | meet girls,0,B,B,1,0
<built-in function id>,what has a subevent of blush and may cause guilt,lying | getting away with crime | meet girls,0,A,A,0,1
<built-in function id>,what is motivated by a goal of need money and has a prerequisite of write book,sell new book | tell many people about | apply for job,0,C,C,2,0
<built-in function id>,what is motivated by a goal of money and has a prerequisite of write book,sell new book | serve customers | tell many people about,0,A,A,0,1
<built-in function id>,what has a prerequisite of write book and is motivated by a goal of earn money,sell new book | tell many people about | return to work,0,A,A,0,1
<built-in function id>,what is usually located at train station and usually used for holding clothes,baggage | dresser | train tracks,0,A,A,0,1
<built-in function id>,what usually used for travel and usually used for holding clothes,baggage | dresser | round trip ticket,0,A,A,0,1
<built-in function id>,what has a prerequisite of get money and has a prerequisite of drive,shop | go to mall | test car,1,A,A,0,0
<built-in function id>,what has a subevent of shake hands and has a prerequisite of go to bar,meet people | reaching tentative agreement | hit bottle,0,B,B,1,0
<built-in function id>,what usually used for health and has a prerequisite of mouth,maintaining muscle strength | eating vegetables | talking,1,C,C,2,0
<built-in function id>,what has a prerequisite of food and has a subevent of burn,cooking | starting fire | eating dinner,0,A,A,0,1
<built-in function id>,what has a subevent of dying and is motivated by a goal of win,committing suicide | fight war | compete,1,C,C,2,0
<built-in function id>,what has a prerequisite of ears and usually used for learning,listening | teaching other people | hearing testimony,0,A,A,0,1
<built-in function id>,what has a prerequisite of ears and has a prerequisite of concentration,listening | studying | hearing testimony,0,A,A,0,1
<built-in function id>,what may cause understanding and usually used for enjoying music,dancing | examining thing | listening,2,C,C,2,1
<built-in function id>,what usually used for enjoying music and has a prerequisite of concentration,listening | committing to memory | dancing,0,A,A,0,1
<built-in function id>,what may cause happiness and may cause winning,living life | conquering opponent | playing games,2,B,B,1,0
<built-in function id>,what usually used for birthday and has a prerequisite of having money,buying presents | baking cake | shopping,0,A,A,0,1
<built-in function id>,what has a subevent of getting drunk and has a prerequisite of bring money,go to pub | grocery shop | celebrating,0,A,A,0,1
<built-in function id>,what has a prerequisite of bring money and has a prerequisite of call friend,go to market | go to pub | chat with friends,1,A,A,0,0
<built-in function id>,what has a prerequisite of tools and has a subevent of get wet,repairing umbrella | fixing computer | have shower,0,C,C,2,0
