index,stem,choices,true_label,model_reply,extracted_key,predicted_label,correct
0,when did the band where Slobodan Kovačević played first form?,1962 | 1964 | 1961,0,C),C,2,0
284,who is the spouse of the actor that played in The Army Surgeon?,Romy Schneider | Jane Fonda | Candice King,2,A),A,0,0
285,who is the spouse of the actor that played in My Little Girl?,Marc Anthony | Dwyane Wade | Woody Allen,0,C),C,2,0
286,who is the spouse of the actor that played in Zpověď Dona Juana?,Carmine Gallone | Candice King | Václav Havel,2,C),C,2,1
287,who is the spouse of the actor that played in Class of 1999?,Dario Argento | Phoebe Cates Kline | Mary Steenburgen,2,B) Phoebe Cates Kline,B,1,0
288,who is the spouse of the actor that played in I Love You to Death?,Amitabh Bachchan | Louis Malle | Phoebe Cates Kline,2,C),C,2,1
289,who is the spouse of the actor that played in The Most Beautiful?,Heidi Klum | Akira Kurosawa | Joachim Kerzel,1,C),C,2,0
290,who is the spouse of the actor that played in Alraune?,Romy Schneider | Carmine Gallone | Matthew Vaughn,0,B),B,1,0
291,"who is the spouse of the actor that played in East Side, West Side?",Frank Sinatra | Humphrey Bogart | Ronald Reagan,2,B) Humphrey Bogart,B,1,0
292,who is the spouse of the actor that played in The Secret of Cavelli?,Countess Palatine Hedwig Elisabeth of Neuburg | Henri Verneuil | Willy Fritsch,2,C),C,2,1
293,who is the spouse of the actor that played in Sleepless?,Jack Hawkins | Dwyane Wade | Elsa Bassermann,1,C),C,2,0
294,who is the spouse of the actor that played in Y2K?,Gustav von Wangenheim | Peter DeLuise | Werner Krauss,1,B),B,1,1
295,who is the spouse of the actor that played in Die Böhms - Architektur einer Familie?,Georges Duhamel | Henri Verneuil | Gottfried Böhm,2,C),C,2,1
296,who is the spouse of the actor that played in Salvador Dalí?,Emperor Taizong of Tang | Salvador Dalí | Willy Fritsch,1,C),C,2,0
297,who is the spouse of the actor that played in Love Happens?,Peter DeLuise | Franka Potente | Werner Krauss,0,B) Franka Potente,B,1,0
298,who is the spouse of the actor that played in Sweetheart of the Gods?,Beck | Romy Schneider | Emmy Göring,1,B) Romy Schneider,B,1,1
299,who is the spouse of the actor that played in Thedi Vandha Lakshmi?,Vishnu | Joachim Kerzel | Gustav von Wangenheim,0,A) Vishnu,A,0,1
300,who is the spouse of the actor that played in Popstar: Never Stop Never Stopping?,Akira Kurosawa | Countess Palatine Hedwig Elisabeth of Neuburg | Heidi Klum,2,C),C,2,1
301,who is the spouse of the actor that played in No Mercy?,Akira Kurosawa | Ella Fitzgerald | Gustav von Wangenheim,1,C),C,2,0
302,who is the spouse of the actor that played in Cain and Mabel?,Matthew Vaughn | Carmine Gallone | Candice King,2,B),B,1,0
303,who is the spouse of the actor that played in Pact with the Devil?,Dario Argento | Mary Steenburgen | Phoebe Cates Kline,1,C),C,2,0
304,who is the spouse of the actor that played in Encounter in Salzburg?,Édith Piaf | Jean-Claude Killy | Peter Lee Lawrence,1,C),C,2,0
305,who is the spouse of the actor that played in The Surgeon?,Phoebe Cates Kline | Mary Steenburgen | Ronald Reagan,1,A) Phoebe Cates Kline,A,0,0
306,who is the spouse of the actor that played in Meherjaan?,Louis Malle | Amitabh Bachchan | Vittorio De Sica,1,B),B,1,1
307,who is the spouse of the actor that played in San Quentin?,Matthew Vaughn | Candice King | Carmine Gallone,1,C),C,2,0
308,who is the spouse of the actor that played in Giovannino?,Phoebe Cates Kline | Louis Malle | Vittorio De Sica,2,A) Phoebe Cates Kline,A,0,0
309,who is the spouse of the actor that played in The Leech Woman?,Margarethe von Trotta | Werner Klemperer | Werner Krauss,1,B),B,1,1
310,who is the spouse of the actor that played in Romance of a Horsethief?,Mary Steenburgen | Dario Argento | Amitabh Bachchan,1,A) Mary Steenburgen,A,0,0
311,who is the spouse of the actor that played in September Eleven 1683?,Ingmar Bergman | Countess Palatine Hedwig Elisabeth of Neuburg | Willy Fritsch,1,C),C,2,0
312,who is the spouse of the actor that played in Slightly Single in L.A.?,David Denman | Margarethe von Trotta | Werner Krauss,0,A) David Denman,A,0,1
313,who is the spouse of the actor that played in Success?,Ingmar Bergman | Edgar Selge | Akira Kurosawa,1,B),B,1,1
314,who is the spouse of the actor that played in The Cell?,Marc Anthony | Woody Allen | Jack Hawkins,0,B) Woody Allen,B,1,0
315,who is the spouse of the actor that played in Across the Universe?,Emperor Taizong of Tang | Henri Verneuil | Eric Lobron,1,B),B,1,1
316,who is the spouse of the actor that played in The Man in the Iron Mask?,Vittorio De Sica | Louis Malle | Elsa Bassermann,2,C),C,2,1
317,who is the spouse of the actor that played in Und wieder 48?,Gustav von Wangenheim | Akira Kurosawa | Franka Potente,0,A) Gustav von Wangenheim,A,0,1
318,who is the spouse of the actor that played in Frankie and Alice?,Vishnu | Gustav von Wangenheim | Peter DeLuise,2,C),C,2,1
319,who is the spouse of the actor that played in Women's Sacrifice?,Woody Allen | Elsa Bassermann | Louis Malle,1,B),B,1,1
320,"who is the spouse of the actor that played in Zítra to roztočíme, drahoušku...!?",Marlon Brando | Václav Havel | Jane Fonda,1,B) Václav Havel,B,1,1
321,who is the spouse of the actor that played in Messalina vs. the Son of Hercules?,Amitabh Bachchan | Dario Argento | Miloš Kopecký,1,C),C,2,0
322,who is the spouse of the actor that played in The Wild Angels?,Werner Klemperer | Margarethe von Trotta | David Denman,0,B),B,1,0
323,who is the spouse of the actor that played in Bach in Brazil?,Heidi Klum | Edgar Selge | Joachim Kerzel,1,C),C,2,0
324,who is the spouse of the actor that played in El Cantante?,Marc Anthony | Jack Hawkins | Elsa Bassermann,0,A),A,0,1
325,who is the spouse of the actor that played in Shadow on the Wall?,Ronald Reagan | Frank Sinatra | Mary Steenburgen,0,C),C,2,0
326,who is the spouse of the actor that played in Anamika?,Phoebe Cates Kline | Amitabh Bachchan | Vittorio De Sica,1,A) Phoebe Cates Kline,A,0,0
327,who is the spouse of the actor that played in According to Spencer?,Matthew Vaughn | Romy Schneider | Beck,2,C),C,2,1
328,who is the spouse of the actor that played in Life Without Dick?,Matthew Vaughn | Candice King | Romy Schneider,0,C),C,2,0
329,who is the spouse of the actor that played in Mission to Moscow?,Beck | Brad Paisley | Emmy Göring,2,C),C,2,1
330,who is the spouse of the actor that played in Underground?,Brad Paisley | Jean-Claude Killy | Emmy Göring,1,A),A,0,0
331,who is the spouse of the actor that played in Wild Horses?,Jean-Claude Killy | Romy Schneider | Beck,2,C),C,2,1
332,who is the spouse of the actor that played in The Bostonians?,Jack Hawkins | Wim Wenders | Brian Benben,0,C),C,2,0
333,who is the spouse of the actor that played in Ace of Hearts?,Peter DeLuise | Vishnu | Franka Potente,0,A) Peter DeLuise,A,0,1
334,who is the spouse of the actor that played in Upaharam?,Dario Argento | Phoebe Cates Kline | Amitabh Bachchan,2,B) Phoebe Cates Kline,B,1,0
335,who is the spouse of the actor that played in Octane?,Wim Wenders | Brian Benben | Jack Hawkins,1,B),B,1,1
336,who is the spouse of the actor that played in The Power of Few?,Gustav von Wangenheim | Franka Potente | Ella Fitzgerald,1,B) Franka Potente,B,1,1
337,who is the spouse of the actor that played in Totsugu hi made?,Joachim Kerzel | Ella Fitzgerald | Akira Kurosawa,2,A),A,0,0
338,who is the spouse of the actor that played in Valentino: The Last Emperor?,Romy Schneider | Matthew Vaughn | Katy Perry,1,B),B,1,1
339,who is the spouse of the actor that played in Hitler in Hollywood?,Margarethe von Trotta | Peter DeLuise | Werner Klemperer,0,C),C,2,0
340,who is the spouse of the actor that played in Fierce Creatures?,Louis Malle | Phoebe Cates Kline | Miloš Kopecký,1,B),B,1,1
341,who is the spouse of the actor that played in On with the Motley?,Jane Fonda | Matthew Vaughn | Carmine Gallone,2,C),C,2,1
342,who is the spouse of the actor that played in Three Veils?,Werner Krauss | Franka Potente | David Denman,2,A,A,0,0
343,who is the spouse of the actor that played in Alibi Ike?,Candice King | Carmine Gallone | Václav Havel,0,B),B,1,0
344,who is the spouse of the actor that played in Used People?,Jack Hawkins | Marc Anthony | Marlon Brando,0,C),C,2,0
345,who is the spouse of the actor that played in Two Can Play That Game?,Jack Hawkins | Elsa Bassermann | Dwyane Wade,2,B),B,1,0
346,who is the spouse of the actor that played in 100 Girls?,Beck | Emmy Göring | Matthew Vaughn,0,B),B,1,0
347,who is the spouse of the actor that played in Der Kampf?,Vishnu | Franka Potente | Gustav von Wangenheim,2,C),C,2,1
348,who is the spouse of the actor that played in I basilischi?,Édith Piaf | Marcello Mastroianni | Werner Klemperer,1,B),B,1,1
349,who is the spouse of the actor that played in The Grand Budapest Hotel?,Brian Benben | Marlon Brando | Wim Wenders,2,C),C,2,1
350,who is the spouse of the actor that played in As You Like It?,Miloš Kopecký | Phoebe Cates Kline | Louis Malle,1,B),B,1,1
351,who is the spouse of the actor that played in Girls Trip?,Louis Malle | Dwyane Wade | Woody Allen,1,B),B,1,1
352,who is the spouse of the actor that played in In viaggio con papà?,Marcello Mastroianni | Édith Piaf | Stanley Kubrick,0,A,A,0,1
353,who is the spouse of the actor that played in Avenging Angelo?,Brian Benben | Marlon Brando | Václav Havel,0,A) Brian Benben,A,0,1
354,who is the spouse of the actor that played in Bad Boys II?,Dwyane Wade | Marc Anthony | Louis Malle,0,B),B,1,0
355,who is the spouse of the actor that played in Another Stakeout?,Marlon Brando | Brian Benben | Jack Hawkins,1,B),B,1,1
356,who is the spouse of the actor that played in An Unfinished Life?,Marc Anthony | Woody Allen | Elsa Bassermann,0,C),C,2,0
357,who is the spouse of the actor that played in The Red Terror?,Peter DeLuise | Margarethe von Trotta | Werner Krauss,2,B),B,1,0
358,who is the spouse of the actor that played in Let Sleeping Corpses Lie?,Édith Piaf | Peter Lee Lawrence | Marcello Mastroianni,1,B),B,1,1
359,who is the spouse of the actor that played in Fury of Johnny Kid?,Jean-Claude Killy | Édith Piaf | Peter Lee Lawrence,2,C),C,2,1
360,who is the spouse of the actor that played in The House of Smiles?,Vittorio De Sica | Amitabh Bachchan | Dwyane Wade,0,A) Vittorio De Sica,A,0,1
361,who is the spouse of the actor that played in Jersey Girl?,Elsa Bassermann | Jack Hawkins | Marc Anthony,2,A),A,0,0
362,who is the spouse of the actor that played in Hostel: Part II?,Franka Potente | Gustav von Wangenheim | Peter DeLuise,0,C),C,2,0
363,who is the spouse of the actor that played in La residencia?,Marcello Mastroianni | Brad Paisley | Peter Lee Lawrence,2,C),C,2,1
364,who is the spouse of the actor that played in Black and White?,Matthew Vaughn | Beck | Katy Perry,0,B),B,1,0
365,who is the spouse of the actor that played in Day for My Love?,Marlon Brando | Václav Havel | Brian Benben,1,C),C,2,0
366,who is the spouse of the actor that played in Thyagam?,Joachim Kerzel | Peter DeLuise | Vishnu,2,C) Vishnu,C,2,1
367,who is the spouse of the actor that played in The Raging Moon?,Mary Steenburgen | Humphrey Bogart | Miloš Kopecký,0,C),C,2,0
368,who is the spouse of the actor that played in La vie est belle?,Phoebe Cates Kline | Vittorio De Sica | Elsa Bassermann,1,C),C,2,0
369,who is the spouse of the actor that played in We Were Soldiers?,Brian Benben | Wim Wenders | Jack Hawkins,0,A) Brian Benben,A,0,1
370,who is the spouse of the actor that played in Wasteland?,Peter Lee Lawrence | Édith Piaf | Jean-Claude Killy,2,A) Peter Lee Lawrence,A,0,0
371,who is the spouse of the actor that played in China Moon?,Jane Fonda | Václav Havel | Brian Benben,2,C),C,2,1
372,who is the spouse of the actor that played in Old Heidelberg?,Matthew Vaughn | Romy Schneider | Beck,1,B),B,1,1
373,who is the spouse of the actor that played in Marcella?,Matthew Vaughn | Jane Fonda | Carmine Gallone,2,A) Matthew Vaughn,A,0,0
374,who is the spouse of the actor that played in Killer's Kiss?,Marcello Mastroianni | Werner Krauss | Stanley Kubrick,2,C),C,2,1
375,who is the spouse of the actor that played in Hoegler's Mission?,Joachim Kerzel | Franka Potente | Gustav von Wangenheim,2,B) Franka Potente,B,1,0
376,who is the spouse of the actor that played in Island of the Dead?,Mary Steenburgen | Humphrey Bogart | Phoebe Cates Kline,0,C),C,2,0
377,who is the spouse of the actor that played in Above All Else in the World?,Werner Klemperer | Peter DeLuise | Werner Krauss,2,C),C,2,1
378,who is the spouse of the actor that played in Best Friends?,Wim Wenders | Jack Hawkins | Woody Allen,1,C),C,2,0
379,who is the spouse of the actor that played in Guddi?,Elsa Bassermann | Amitabh Bachchan | Phoebe Cates Kline,1,B),B,1,1
380,who is the spouse of the actor that played in Shoot Twice?,Peter Lee Lawrence | Édith Piaf | Marcello Mastroianni,0,B) Édith Piaf,B,1,0
381,who is the spouse of the actor that played in Judoka-Secret Agent?,Amitabh Bachchan | Dario Argento | Vittorio De Sica,1,A) Amitabh Bachchan,A,0,0
382,who is the spouse of the actor that played in The Killer Must Kill Again?,Peter Lee Lawrence | Andy Roddick | Brad Paisley,0,A),A,0,1
383,who is the spouse of the actor that played in Just Go with It?,Andy Roddick | Stanley Kubrick | Werner Klemperer,0,A),A,0,1
384,who is the spouse of the actor that played in Something of Value?,Werner Klemperer | Margarethe von Trotta | Werner Krauss,0,B),B,1,0
385,who is the spouse of the actor that played in Zanjeer?,Phoebe Cates Kline | Amitabh Bachchan | Louis Malle,1,B),B,1,1
386,who is the spouse of the actor that played in Catwalk?,Romy Schneider | Beck | Matthew Vaughn,2,B),B,1,0
387,who is the spouse of the actor that played in Indian Summer?,Brad Paisley | Jean-Claude Killy | Marcello Mastroianni,0,A),A,0,1
388,who is the spouse of the actor that played in Lights and Shadows?,Vittorio De Sica | Louis Malle | Dwyane Wade,0,A,A,0,1
389,who is the spouse of the actor that played in Hemingway's Adventures of a Young Man?,Jack Hawkins | Marlon Brando | Wim Wenders,0,B) Marlon Brando,B,1,0
390,who is the spouse of the actor that played in Forgetting Sarah Marshall?,Beck | Katy Perry | Emmy Göring,1,B),B,1,1
391,who is the spouse of the actor that played in The Slugger's Wife?,Candice King | Jane Fonda | Václav Havel,1,B) Jane Fonda,B,1,1
392,who is the spouse of the actor that played in Le Pavé de Paris?,Édith Piaf | Peter Lee Lawrence | Jean-Claude Killy,2,B),B,1,0
393,who is the spouse of the actor that played in Honky Tonk Freeway?,Jack Hawkins | Marc Anthony | Wim Wenders,0,A) Jack Hawkins,A,0,1
394,who is the spouse of the actor that played in You Are a Widow?,Mary Steenburgen | Miloš Kopecký | Dario Argento,1,B),B,1,1
395,who is the spouse of the actor that played in Kicking and Screaming?,Beck | Emmy Göring | Katy Perry,0,B),B,1,0
396,who is the spouse of the actor that played in Parker?,Woody Allen | Wim Wenders | Marc Anthony,2,C),C,2,1
397,who is the spouse of the actor that played in The Tempest?,Beck | Katy Perry | Brad Paisley,1,C),C,2,0
398,who is the spouse of the actor that played in Closet Land?,Marlon Brando | Jane Fonda | Brian Benben,2,C),C,2,1
399,who is the spouse of the actor that played in Rules Don't Apply?,Andy Roddick | Marcello Mastroianni | Stanley Kubrick,0,A) Andy Roddick,A,0,1
400,who is the spouse of the actor that played in Normal?,Václav Havel | Marlon Brando | Candice King,0,C),C,2,0
401,who is the spouse of the actor that played in The Terror of Rome Against the Son of Hercules?,Miloš Kopecký | Dario Argento | Mary Steenburgen,1,A) Miloš Kopecký,A,0,0
402,who is the spouse of the actor that played in With Lee in Virginia?,Matthew Vaughn | Candice King | Romy Schneider,1,C),C,2,0
403,who is the spouse of the actor that played in Show Boat?,Ronald Reagan | Frank Sinatra | Humphrey Bogart,1,A),A,0,0
404,who is the spouse of the actor that played in Red Sands?,Vishnu | Peter DeLuise | David Denman,2,B),B,1,0
405,who is the spouse of the actor that played in Kasethan Kadavulada?,Vishnu | Ella Fitzgerald | Franka Potente,0,A) Vishnu,A,0,1
406,who is the spouse of the actor that played in Happy End?,Miloš Kopecký | Amitabh Bachchan | Mary Steenburgen,0,C),C,2,0
407,who is the spouse of the actor that played in Moonlight on the Prairie?,Candice King | Carmine Gallone | Matthew Vaughn,0,B),B,1,0
408,who is the spouse of the actor that played in The Faces of Love?,Candice King | Jane Fonda | Carmine Gallone,2,C),C,2,1
409,who is the spouse of the actor that played in Nevinné lži?,Václav Havel | Brian Benben | Jane Fonda,0,B),B,1,0
410,who is the spouse of the actor that played in Senza colpa!?,Matthew Vaughn | Candice King | Carmine Gallone,2,C),C,2,1
411,"who is the spouse of the actor that played in Léon Morin, Priest?",Margarethe von Trotta | David Denman | Stanley Kubrick,0,A),A,0,1
412,who is the spouse of the actor that played in Sniper: Legacy?,David Denman | Margarethe von Trotta | Franka Potente,0,C),C,2,0
413,who is the spouse of the actor that played in Django Kill?,Dario Argento | Amitabh Bachchan | Phoebe Cates Kline,0,C),C,2,0
414,who is the spouse of the actor that played in Hvězda jede na jih?,Phoebe Cates Kline | Miloš Kopecký | Dario Argento,1,B),B,1,1
415,who is the spouse of the actor that played in The Big Chill?,Louis Malle | Amitabh Bachchan | Phoebe Cates Kline,2,C),C,2,1
416,who is the spouse of the actor that played in Richie Rich?,Katy Perry | Carmine Gallone | Matthew Vaughn,2,B),B,1,0
417,who is the spouse of the actor that played in Berlin-Alexanderplatz?,Margarethe von Trotta | Peter DeLuise | Werner Krauss,2,A),A,0,0
418,who is the spouse of the actor that played in The War at Home?,Peter Lee Lawrence | Jean-Claude Killy | Brad Paisley,2,C),C,2,1
419,who is the spouse of the actor that played in Simpatico?,Édith Piaf | Brad Paisley | Emmy Göring,1,C),C,2,0
420,who is the spouse of the actor that played in De-Lovely?,Phoebe Cates Kline | Vittorio De Sica | Amitabh Bachchan,0,A),A,0,1
421,who is the spouse of the actor that played in Fiza?,Elsa Bassermann | Amitabh Bachchan | Vittorio De Sica,1,B) Amitabh Bachchan,B,1,1
422,who is the spouse of the actor that played in To Have and Have Not?,Humphrey Bogart | Mary Steenburgen | Ronald Reagan,0,A) Humphrey Bogart,A,0,1
423,who is the spouse of the actor that played in Whistle Stop?,Frank Sinatra | Ronald Reagan | Humphrey Bogart,0,C),C,2,0
424,"who is the spouse of the actor that played in 666 – Traue keinem, mit dem du schläfst!?",Matthew Vaughn | Romy Schneider | Katy Perry,0,B),B,1,0
425,who is the spouse of the actor that played in The Little Hut?,Charlie Chaplin | Ronald Reagan | Frank Sinatra,2,B),B,1,0
426,who is the spouse of the actor that played in Foreign Correspondent?,Elsa Bassermann | Marc Anthony | Vittorio De Sica,0,A) Elsa Bassermann,A,0,1
427,who is the spouse of the actor that played in Reeker?,Franka Potente | David Denman | Gustav von Wangenheim,0,B) David Denman,B,1,0
428,who is the spouse of the actor that played in Roy Colt and Winchester Jack?,Dario Argento | Miloš Kopecký | Amitabh Bachchan,0,B) Miloš Kopecký,B,1,0
429,who is the spouse of the actor that played in A Star for Two?,Miloš Kopecký | Humphrey Bogart | Mary Steenburgen,1,C),C,2,0
430,who is the spouse of the actor that played in Among Wolves?,Václav Havel | Jack Hawkins | Wim Wenders,2,B),B,1,0
431,who is the spouse of the actor that played in Beach House?,Marcello Mastroianni | Édith Piaf | Stanley Kubrick,0,A,A,0,1
432,who is the spouse of the actor that played in The Triumph of Hercules?,Phoebe Cates Kline | Miloš Kopecký | Dario Argento,2,B),B,1,0
433,who is the spouse of the actor that played in Bansi Birju?,Amitabh Bachchan | Elsa Bassermann | Phoebe Cates Kline,0,B),B,1,0
434,who is the spouse of the actor that played in Flight from Ashiya?,Jean-Claude Killy | Katy Perry | Emmy Göring,0,C),C,2,0
435,who is the spouse of the actor that played in Say Uncle?,Jack Hawkins | Louis Malle | Dwyane Wade,2,A) Jack Hawkins,A,0,0
436,who is the spouse of the actor that played in Professor Imhof?,Dwyane Wade | Elsa Bassermann | Woody Allen,1,B),B,1,1
437,who is the spouse of the actor that played in Lovesong?,Stanley Kubrick | Werner Klemperer | Andy Roddick,2,C),C,2,1
438,who is the spouse of the actor that played in Ek Nazar?,Amitabh Bachchan | Elsa Bassermann | Dario Argento,0,B),B,1,0
439,who is the spouse of the actor that played in Camille 2000?,Jean-Claude Killy | Peter Lee Lawrence | Brad Paisley,0,B),B,1,0
440,who is the spouse of the actor that played in Poslední propadne peklu?,Candice King | Brian Benben | Václav Havel,2,B),B,1,0
441,who is the spouse of the actor that played in The Shanghai Gesture?,Elsa Bassermann | Vittorio De Sica | Woody Allen,0,A) Elsa Bassermann,A,0,1
442,who is the spouse of the actor that played in My Family?,Marc Anthony | Jack Hawkins | Woody Allen,0,B),B,1,0
443,who is the spouse of the actor that played in Hardcore?,Ronald Reagan | Mary Steenburgen | Miloš Kopecký,1,B),B,1,1
444,who is the spouse of the actor that played in The Moon and Sixpence?,Vittorio De Sica | Louis Malle | Elsa Bassermann,2,C),C,2,1
445,who is the spouse of the actor that played in Triumph Over Violence?,Katy Perry | Emmy Göring | Jean-Claude Killy,1,B) Emmy Göring,B,1,1
446,who is the spouse of the actor that played in Brand: A Second Coming?,Katy Perry | Brad Paisley | Emmy Göring,0,C),C,2,0
447,who is the spouse of the actor that played in Ride or Die?,Marc Anthony | Dwyane Wade | Jack Hawkins,1,B),B,1,1
448,who is the spouse of the actor that played in Solitudine?,Humphrey Bogart | Ronald Reagan | Charlie Chaplin,1,A,A,0,0
449,who is the spouse of the actor that played in Special Agent?,Matthew Vaughn | Candice King | Romy Schneider,1,C),C,2,0
450,who is the spouse of the actor that played in Two Girls and a Sailor?,Humphrey Bogart | Ronald Reagan | Frank Sinatra,2,B),B,1,0
451,who is the spouse of the actor that played in A Dispatch from Reuter's?,Marc Anthony | Dwyane Wade | Elsa Bassermann,2,C),C,2,1
452,where is the headquarters of the company that Robert Pierce established located?,Curitiba | Porto Alegre | Recife,2,A) Curitiba,A,0,0
453,where is the headquarters of the company that Fred Rwigyema established located?,Kigali | Medina | Tbilisi,0,A) Kigali,A,0,1
454,where is the headquarters of the company that Daisaku Ikeda established located?,Olympia | Rosemead | Aliso Viejo,2,B) Rosemead,B,1,0
455,where is the headquarters of the company that Bill Putnam established located?,Hartford | Lindon | Scotts Valley,2,B) Lindon,B,1,0
456,where is the headquarters of the company that Bento Munhoz da Rocha Neto established located?,Curitiba | Santana de Parnaíba | Porto Alegre,0,B) Santana de Parnaíba,B,1,0
457,where is the headquarters of the company that Roger Payne established located?,Southampton | Gloucester | Cambridge,1,C),C,2,0
458,where is the headquarters of the company that Laurance Rockefeller established located?,"Baltimore | Washington, D.C. | Detroit",1,B),B,1,1
459,where is the headquarters of the company that Edwin H. Land established located?,Aliso Viejo | Concord | Englewood,1,A) Aliso Viejo,A,0,0
460,where is the headquarters of the company that Jalil Mammadguluzadeh established located?,Recife | Munich | Tabriz,2,C) Tabriz,C,2,1
461,where is the headquarters of the company that Semyon Levin established located?,Moscow | Mumbai | Istanbul,0,A) Moscow,A,0,1
462,where is the headquarters of the company that Václav Laurin established located?,Mladá Boleslav | Brno | Plzeň,0,A) Mladá Boleslav,A,0,1
463,where is the headquarters of the company that Theodor Fleitmann established located?,Quakenbrück | Schwerte | Iserlohn,1,A) Quakenbrück,A,0,0
464,where is the headquarters of the company that Oliver Chace established located?,Omaha | Atlanta | Minneapolis,0,C) Minneapolis,C,2,0
465,where is the headquarters of the company that Prince Hassan bin Talal established located?,Johannesburg | Amman | Casablanca,1,B) Amman,B,1,1
466,where is the headquarters of the company that Samuel Cunard established located?,Torrance | Montgomery | Santa Clarita,2,A) Torrance,A,0,0
467,where is the headquarters of the company that James E. Boyd established located?,Lawrenceville | Paradise | Oxford,0,A) Lawrenceville,A,0,1
468,where is the headquarters of the company that Jesús Gil established located?,Madrid | Valencia | Marbella,2,B) Valencia,B,1,0
469,where is the headquarters of the company that Jean-François-Maxime Raybaud established located?,Patras | Hollywood | Gloucester,0,C),C,2,0
470,where is the headquarters of the company that Erich Paulun established located?,Hangzhou | Hong Kong | Shanghai,2,A) Hangzhou,A,0,0
471,where is the headquarters of the company that Mainza Chona established located?,Budapest | Lusaka | Fukuoka,1,B) Lusaka,B,1,1
472,where is the headquarters of the company that Jim Davis established located?,Delray Beach | Muncie | Rockville,1,B) Muncie,B,1,1
473,where is the headquarters of the company that Jawaharlal Nehru established located?,Salem | Varanasi | Kakinada,2,A) Salem,A,0,0
474,where is the headquarters of the company that Henry A. Wallace established located?,South Burlington | Oxford | Johnston,2,C),C,2,1
475,where is the headquarters of the company that Filippo Aliquò Taverriti established located?,Varese | Pisa | Reggio Calabria,2,A) Varese,A,0,0
476,where is the headquarters of the company that Steve Shelley established located?,Rosemead | Hoboken | Aliso Viejo,1,B),B,1,1
477,where is the headquarters of the company that Toshio Suzuki established located?,Iwata | Koganei | Fukuoka,1,B) Koganei,B,1,1
478,where is the headquarters of the company that Heinrich Ernemann established located?,Nuremberg | Dresden | Bremen,1,A) Nuremberg,A,0,0
479,where is the headquarters of the company that Max Grundig established located?,Nuremberg | Bonn | Hanover,0,A) Nuremberg,A,0,1
480,where is the headquarters of the company that Sidney Myer established located?,Khartoum | Casablanca | Melbourne,2,C),C,2,1
481,where is the headquarters of the company that Birdman established located?,Miami | Atlanta | Colorado Springs,0,A) Miami,A,0,1
482,where is the headquarters of the company that Paul Cameron established located?,New Orleans | Omaha | Colorado Springs,2,B) Omaha,B,1,0
483,where is the headquarters of the company that John Marston established located?,Cambridge | Nottingham | Wolverhampton,2,A) Cambridge,A,0,0
484,where is the headquarters of the company that Orlando Bonsignori established located?,Siena | Pisa | Varese,0,A) Siena,A,0,1
485,where is the headquarters of the company that Gary Klein established located?,Toronto | Montreal | Waterloo,2,C) Waterloo,C,2,1
486,where is the headquarters of the company that James Buchanan Duke established located?,North Las Vegas | Winston-Salem | Durham,2,B) Winston-Salem,B,1,0
487,where is the headquarters of the company that Mary White Ovington established located?,Baltimore | Nashville | Atlanta,0,A) Baltimore,A,0,1
488,where is the headquarters of the company that Michel Bauwens established located?,Breda | Rotterdam | Amsterdam,2,A) Breda,A,0,0
489,where is the headquarters of the company that Lee Eyerly established located?,Salem | New Delhi | Varanasi,0,A) Salem,A,0,1
490,where is the headquarters of the company that Ahmet Mithat Berberoğlu established located?,Woodbury | North Nicosia | Palo Alto,1,B) North Nicosia,B,1,1
491,where is the headquarters of the company that Bernard Goldberg established located?,Liverpool | Manchester | Leicester,0,A) Liverpool,A,0,1
492,where is the headquarters of the company that Leonard Bosack established located?,San Jose | San Diego | San Francisco,0,A) San Jose,A,0,1
493,where is the headquarters of the company that Franjo Tuđman established located?,Valencia | Zagreb | Frankfurt,1,B) Zagreb,B,1,1
494,where is the headquarters of the company that Paul Washer established located?,Radford | El Segundo | South Burlington,0,A) Radford,A,0,1
495,where is the headquarters of the company that Vincenzo Scotti established located?,Milan | Turin | Naples,2,A) Milan,A,0,0
496,where is the headquarters of the company that Assis Chateaubriand established located?,Recife | Porto Alegre | Brasília,2,A) Recife,A,0,0
497,where is the headquarters of the company that Giovanni Agusta established located?,Varese | Pisa | Reggio Calabria,0,A) Varese,A,0,1
498,where is the headquarters of the company that Honoratus established located?,Courbevoie | Rueil-Malmaison | Cannes,2,A) Courbevoie,A,0,0
499,where is the headquarters of the company that G. G. Ponnambalam established located?,Valencia | Colombo | Frankfurt,1,B) Colombo,B,1,1
