index,stem,choices,true_label,model_reply,extracted_key,predicted_label,correct
308,what has a subevent of kneel and has a prerequisite of faith,belief in god | proposing to woman | praying,2,C),C,2,1
309,what may cause relief and has a prerequisite of faith,emptying bladder | belief in god | praying,2,B),B,1,0
310,what is related to willing and is related to oblique,ready | convergent | inclined,2,C,C,2,1
311,what has a prerequisite of have pen and is motivated by a goal of you're bored,watch television | pay by check | do crossword puzzle,2,C),C,2,1
312,what has a prerequisite of think and has a prerequisite of buy newspaper,analyse | do crossword puzzle | read news,1,C),C,2,0
313,what has a prerequisite of sharpen pencil and is motivated by a goal of you're bored,do crossword puzzle | have conversation | take examination,0,A,A,0,1
314,what has a prerequisite of sleep and usually used for having sex,going to bed | meeting girls | gather energy for tomorrow,0,A),A,0,1
315,what has a prerequisite of turn on tv and has a prerequisite of buy tickets,see favorite show | watch television | go to opera,0,A,A,0,1
316,what may cause injury and usually used for drive,compact | falling | ambulance,2,B),B,1,0
317,what causes desire of fish and has a property of painful,hunger | owning boat | burnt skin,0,A,A,0,1
318,what is motivated by a goal of lose weight and has a prerequisite of go to park,see people play game | eat vegetables | go for run,2,C),C,2,1
319,what has a prerequisite of speak and has a subevent of write down,communicate | create idea | express information,2,C),C,2,1
320,what has a subevent of talk and has a subevent of write down,communicating | express information | create idea,1,B),B,1,1
321,what has a prerequisite of talk and has a subevent of write down,communicate | creating idea | express information,2,C),C,2,1
322,what is related to definition and is usually located at library,define | newspapers | dictionary,2,C),C,2,1
323,what is related to hole and is related to skin,peel | pore | cave,1,B,B,1,1
324,what may cause relaxation and may cause getting wet,washing car | resting | soaking in hotspring,2,C,C,2,1
325,what may cause relaxation and may cause burns,starting fire | enjoying company of friends | soaking in hotspring,2,C,C,2,1
326,what usually used for relaxation and may cause burns,starting fire | soaking in hotspring | meditation,1,B),B,1,1
327,what usually used for grinding and is part of mouth,lingual vein | mill | tooth,2,C,C,2,1
328,what is usually located at mouth and is part of gear,cog | tooth | saliva,1,B,B,1,1
329,what has a subevent of laughter and has a subevent of have sex,tickling | have fun | start family,1,A),A,0,0
330,what is usually located at boat and is usually located at backpack,sleeping bag | rope | captain and crew,1,B,B,1,1
331,what is motivated by a goal of cold and has a prerequisite of get matches,start fire | strike match | put on sweater,0,B),B,1,0
332,what is usually located at amusement park and usually used for blowing up,turnstile | toy balloon | grenade,1,B),B,1,1
333,what usually used for blowing up and is usually located at circus,monkey | grenade | toy balloon,2,C),C,2,1
334,what may cause praise and has a subevent of studying,getting good grade | pleasing parents | passing university exams,0,A,A,0,1
335,what has a subevent of studying and may cause feel good,passing university exams | helping | getting good grade,2,C),C,2,1
336,what has a prerequisite of lots of studying and may cause feel good,getting good grade | making people laugh | passing university exams,0,A),A,0,1
337,what is related to submissive and is related to inferior,unassertive | subordinate | low,1,B) subordinate,B,1,1
338,what usually used for enjoyment and has a prerequisite of eyes,going on vacation | looking through telescope | watching film,2,C),C,2,1
339,what has a subevent of falling asleep and usually used for entertainment,playing chess | watching film | resting,1,B),B,1,1
340,what usually used for relaxation and has a prerequisite of eyes,watching film | looking through telescope | going outside for evening,0,A) watching film,A,0,1
341,what is usually located at sky and is usually located at military base,mess hall | airplane | stars,1,B),B,1,1
342,what usually used for listen to music and has a subevent of have fun,mp3 player | playing ball | seeing band,2,A,A,0,0
343,what is related to set and is related to somewhere,ready | place | away,1,B),B,1,1
344,what is usually located at closet and is usually located at space,vacuum | clothes | aliens,0,B),B,1,0
345,what is capable of clean floor and is usually located at space,mop | vacuum | pluto,1,B,B,1,1
346,what is part of camera and is part of eye,lens | lacrimal vein | finder,0,A,A,0,1
347,what is related to worker and is related to give,return | employ | production line,1,B) employ,B,1,1
348,what is motivated by a goal of express love and has a prerequisite of brush teeth,kiss | eat breakfast | buy for loved one,0,A,A,0,1
349,what has a prerequisite of brush teeth and has a subevent of fall in love,eat breakfast | when meet | kiss,2,C,C,2,1
350,what is part of school year and is part of hundredweight,centner | semester | quarter,2,B,B,1,0
351,what is part of united states and is part of transcaucasia,rhode island | azerbaijan | georgia,2,C,C,2,1
352,what is usually located at mall and is usually located at high school,candy | teenagers | senior,1,B),B,1,1
353,what is related to speed and is related to interest,rate | behalf | accelerator,0,A,A,0,1
354,what is usually located at tide pool and is usually located at salad,crab | potato | anemone,0,C,C,2,0
355,what is usually located at bottom of sea and is usually located at salad,ship wreck | potato | crab,2,A),A,0,0
356,what is usually located at salad and is usually located at rocks,potato | crab | lizard,1,B),B,1,1
357,what has a prerequisite of get job and has a prerequisite of start car,wait tables | drive to work | drive car,1,C,C,2,0
358,what has a property of unhealthy and has a subevent of inhale,breathe | eating fast food | smoking,2,C,C,2,1
359,what is usually located at garage and usually used for privacy,dressing room | door with lock | old tires,1,B),B,1,1
360,what has a subevent of cry and has a subevent of going to doctor,knowing if re healthy | sick | expressing yourself,1,B),B,1,1
361,what is usually located at sentence and is usually located at newspaper,verb | ads | words,2,B),B,1,0
362,what may cause injuries and has a subevent of having fun,skating | dancing | car accident,0,A,A,0,1
363,what has a prerequisite of buy ticket and is motivated by a goal of entertainment,fly in airplane | watch movie | listen to music,1,B),B,1,1
364,what is related to neptune and is related to horse,neptunium | centaur | mule,1,B),B,1,1
365,what may cause regret and has a prerequisite of trust,loving else | intoxication | getting contract,0,A,A,0,1
366,what may cause happiness and has a prerequisite of trust,loving else | getting contract | buying presents,0,A,A,0,1
367,what usually used for keeping fit and usually used for fun,maintaining muscle strength | playing sport | tickling,1,B),B,1,1
368,what usually used for keeping fit and may cause fun,playing game with friends | maintaining muscle strength | playing sport,2,C),C,2,1
369,what has bones and desires play,whales | cats | kids,1,B),B,1,1
370,what is related to town and is related to weight,ton | main street | gain,0,A),A,0,1
371,what usually used for relaxing and may cause clean,seeing movie | washing car | bathing,2,C),C,2,1
372,what may cause clean and has a subevent of getting wet,surfing | doing housework house | bathing,2,C),C,2,1
373,what is usually located at barn and is usually located at bathroom,sculpting gel | hay | stall,2,B),B,1,0
374,what is usually located at barn and is usually located at market,weasel | stall | carrots,1,B),B,1,1
375,what is usually located at war and may cause sadness,george bush | hurting else | death,2,C) death,C,2,1
376,what is related to mortal and is related to profane,profanity | finite | earthly,2,C) earthly,C,2,1
377,what is related to worldly and is related to profane,man about town | profanity | earthly,2,C) earthly,C,2,1
378,what usually used for having fun and may cause injuries,seeing band | playing lacrosse | falling,1,B),B,1,1
379,what causes desire of watch tv show and has a property of bad,boredom | being bored | trash,0,A,A,0,1
380,what causes desire of play game with friends and has a property of bad,downloading online game | boredom | stealing,1,B),B,1,1
381,what causes desire of see exciting story and has a property of bad,need for entertainment | cruelty | boredom,2,A,A,0,0
382,what causes desire of play game and has a property of bad,boredom | being bored | stealing,0,A,A,0,1
383,what is usually located at texas and usually used for living in,snake | buying house | ranch house,2,C),C,2,1
384,what is related to going and is related to keyboard,continue | type | enter,2,C,C,2,1
385,what is related to keyboard and is related to come,enter | typewriter | return,0,C,C,2,0
386,what is related to camping and is related to oil,castor | tent | lantern,2,C,C,2,1
387,what is usually located at museum and has a property of sharp,sword | getting stabbed with knife | artifact,0,A,A,0,1
388,what is usually located at town and is related to structure,structural | place to eat | building,2,C) building,C,2,1
389,what usually used for hair and is usually located at purse,checkbook holder | comb | gel,1,B),B,1,1
390,what is usually located at pocket and usually used for styling hair,ticket | comb | hair gel,1,B),B,1,1
391,what is usually located at purse and usually used for styling hair,checkbook | comb | sculpting gel,1,B),B,1,1
392,what is usually located at city and usually used for playing music,acoustic guitar | taxis | symphony hall,2,C),C,2,1
393,what usually used for play and has a subevent of fall,jumping out of window | yoyo | jumping rope,2,C,C,2,1
394,what has a subevent of fall and may cause sweating,trip | playing sports | jumping rope,2,A,A,0,0
395,what has a subevent of sleeping and has a subevent of listening to music,seeing band | go into coma | relaxing,2,C),C,2,1
396,what usually used for thinking and is part of human body,brain | larynx | cogitating,0,A,A,0,1
397,what is usually located at box and is usually located at internet cafe,chat room | birthday present | monitor,2,C,C,2,1
398,what is usually located at water fountain and is usually located at house,thirsty person | plumbing | couch,1,B,B,1,1
399,what is usually located at newspaper and usually used for solving,weather reports | thinking | puzzle,2,C) puzzle,C,2,1
400,what is usually located at newspaper and is usually located at toy store,opinion | puzzle | toy car,1,B),B,1,1
401,what usually used for solving and is usually located at toy store,slinkies | puzzle | thinking,1,B),B,1,1
402,what usually used for distraction and is usually located at toy store,batz maru dolls | puzzle | hearing music,1,B),B,1,1
403,what has a subevent of count and has a subevent of have fun,seeing band | paying cash | play cards,2,C),C,2,1
404,what usually used for having fun and has a prerequisite of talent,entertaining | creating art | sports equipment,0,B) creating art,B,1,0
405,what is capable of crash and is usually located at sky,star | airplanes | cars,1,B) airplanes,B,1,1
406,what usually used for transport and is related to master,mistress | bike | yacht,2,B) bike,B,1,0
407,what is usually located at car and is capable of board ship,passengers | brake | pirate,0,A,A,0,1
408,what has a prerequisite of have eyes and has a subevent of eat popcorn,look through telescope | going to film | watch film,2,C,C,2,1
409,what has a prerequisite of go to bar and has a subevent of paying money,buy beer | gaining more land | drink alcohol,0,A,A,0,1
410,what usually used for learning and has a prerequisite of patience,piece of information | waiting on line | teaching other people,2,C) teaching other people,C,2,1
411,what usually used for getting revenge and has a prerequisite of hands,preparing for vote | killing people | punching,2,C),C,2,1
412,what has a subevent of sign and has a subevent of get money,get contract | paint picture | get paid,0,C),C,2,0
413,what is usually located at swimming pool and is capable of dry hair,towel | lifeguards | hair dryer,0,C),C,2,0
414,what is usually located at swimming pool and usually used for dry dishes,lifeguard | towel | cloth,1,C),C,2,0
415,what is related to fore and is related to progressive,front | forward | industrial,1,B) forward,B,1,1
416,what has a prerequisite of read book and is motivated by a goal of fun,play game | learn new | study,1,A,A,0,0
417,what has a prerequisite of ask questions and has a prerequisite of go to school,discover truth | receive degree | learn new,2,C) learn new,C,2,1
418,what is motivated by a goal of fun and has a prerequisite of go to school,learn new | surf | receive degree,0,B),B,1,0
419,what has a prerequisite of turn on radio and has a subevent of dancing,listen to radio | hear music | go to party,1,C),C,2,0
420,what is usually located at subway and is usually located at library,index card cabinet | newspaper | ticket turnstile,1,B,B,1,1
421,what may cause death and has a subevent of pain,having heart attack | coffin | exercising,0,A,A,0,1
422,what may cause happiness and has a subevent of talk,loving another | make phone call | enjoying company of friends,2,C),C,2,1
423,what may cause relaxation and has a subevent of talk,enjoying company of friends | communicating | having bath,0,A,A,0,1
424,what may cause relaxation and has a subevent of laughter,taking walk | enjoying company of friends | pretend,1,B),B,1,1
425,what has a subevent of pay for and may cause getting drunk,buy house | buying beer | going to party,1,B),B,1,1
426,what has a subevent of learning and usually used for fun,visiting museum | read book | playing game with friends,0,C),C,2,0
427,what is usually located at fork in road and is usually located at demonstration,road sign | protesters | signs,2,A,A,0,0
428,what is usually located at freeway and is usually located at demonstration,speaker | signs | cars,1,B) signs,B,1,1
429,what usually used for opening doors and is usually located at purse,checkbook cover | knob | key,2,C),C,2,1
430,what usually used for opening doors and is part of basketball court,key | knob | free throw lane,0,B,B,1,0
431,what usually used for open door and is part of florida,handle | key | biscayne national park,1,B) key,B,1,1
432,what usually used for open door and is part of basketball court,key | handle | free throw lane,0,B,B,1,0
433,what is part of florida and is usually located at purse,checkbook cover | daytona beach | key,2,C) key,C,2,1
434,what is part of florida and usually used for close,key | lock | okeechobee,0,A) key,A,0,1
435,what is part of florida and is related to lock,key | melbourne | latch,0,A) key,A,0,1
436,what is part of florida and usually used for opening door,key | door knob | west palm beach,0,A) key,A,0,1
437,what is usually located at purse and usually used for opening door,coins | door knob | key,2,C),C,2,1
438,what is usually located at purse and is part of basketball court,key | free throw lane | cheque book holder,0,B),B,1,0
439,what is part of automobile and is usually located at attic,engine | trunk | old clothes,1,B),B,1,1
440,what is usually located at car and is usually located at attic,battery | trunk | truss joists,1,C,C,2,0
441,what has a prerequisite of plug in and is motivated by a goal of entertained,use television | see favorite show | use computer,0,B),B,1,0
442,what is motivated by a goal of bored and has a prerequisite of have electricity,use television | use computer | play games,0,C),C,2,0
443,what is motivated by a goal of entertained and has a prerequisite of have electricity,use computer | enjoy film | use television,2,C),C,2,1
444,what has a prerequisite of plan and has a subevent of get arrested,commit murder | disobey law | destroy enemy,0,B),B,1,0
445,what is related to undamaged and is related to continuous,continual | uninjured | unbroken,2,C) unbroken,C,2,1
446,what has a prerequisite of put on clothes and is motivated by a goal of see stars,get warm | look through telescope | go outside for evening,2,C),C,2,1
447,what is motivated by a goal of see stars and has a prerequisite of get dressed,go to party | look through telescope | go outside for evening,2,C),C,2,1
448,what is related to rough and is related to unsystematic,irregular | unfinished | disorganized,0,A,A,0,1
449,what usually used for eat chinese food and is usually located at cities,chinese restaurant | chopsticks | cemetery,0,A,A,0,1
450,what usually used for eat chinese food and is usually located at china,chinese restaurant | communism | chopsticks,0,C),C,2,0
451,what usually used for eat chinese food and is usually located at new york,chopsticks | chinese restaurant | subway station,1,A),A,0,0
452,what has a subevent of dance and has a prerequisite of ears,hearing news | going to party | listening to music,2,C),C,2,1
453,what has a subevent of dance and has a subevent of fall asleep,listening to music | watching movie | see band,0,C,C,2,0
454,what has a subevent of dance and may cause fall asleep,watching tv show | listening to music | see band,1,C,C,2,0
455,what has a prerequisite of ears and usually used for dancing,listening to music | hearing news | disco,0,C),C,2,0
456,what has a subevent of fall asleep and usually used for dancing,listening to music | using television | castanets,0,C),C,2,0
457,what is part of helicopter and is part of distributor,rotor | landing skids | capacitor,0,A,A,0,1
458,what usually used for teaching and is usually located at newspaper,text | classroom | classified advertisements,0,C),C,2,0
459,what is part of canada and is part of tennessee,columbia | yukon | memphis,0,B),B,1,0
460,what has a subevent of feel guilty and has a subevent of blush,get away with crime | lying | meet girls,1,B),B,1,1
461,what usually used for hiding truth and has a subevent of blush,meet girls | committing perjury | lying,2,C),C,2,1
462,what has a prerequisite of imagination and has a subevent of blush,lying | creating idea | meet girls,0,B),B,1,0
463,what has a subevent of blush and may cause guilt,lying | getting away with crime | meet girls,0,A,A,0,1
464,what is motivated by a goal of need money and has a prerequisite of write book,sell new book | tell many people about | apply for job,0,C),C,2,0
465,what is motivated by a goal of money and has a prerequisite of write book,sell new book | serve customers | tell many people about,0,A,A,0,1
466,what has a prerequisite of write book and is motivated by a goal of earn money,sell new book | tell many people about | return to work,0,A,A,0,1
467,what is usually located at train station and usually used for holding clothes,baggage | dresser | train tracks,0,A,A,0,1
468,what usually used for travel and usually used for holding clothes,baggage | dresser | round trip ticket,0,A,A,0,1
469,what has a prerequisite of get money and has a prerequisite of drive,shop | go to mall | test car,1,A,A,0,0
470,what has a subevent of shake hands and has a prerequisite of go to bar,meet people | reaching tentative agreement | hit bottle,0,B),B,1,0
471,what usually used for health and has a prerequisite of mouth,maintaining muscle strength | eating vegetables | talking,1,C),C,2,0
472,what has a prerequisite of food and has a subevent of burn,cooking | starting fire | eating dinner,0,A,A,0,1
473,what has a subevent of dying and is motivated by a goal of win,committing suicide | fight war | compete,1,C),C,2,0
474,what has a prerequisite of ears and usually used for learning,listening | teaching other people | hearing testimony,0,A,A,0,1
475,what has a prerequisite of ears and has a prerequisite of concentration,listening | studying | hearing testimony,0,A,A,0,1
476,what may cause understanding and usually used for enjoying music,dancing | examining thing | listening,2,C,C,2,1
477,what usually used for enjoying music and has a prerequisite of concentration,listening | committing to memory | dancing,0,A,A,0,1
478,what may cause happiness and may cause winning,living life | conquering opponent | playing games,2,B) conquering opponent,B,1,0
479,what usually used for birthday and has a prerequisite of having money,buying presents | baking cake | shopping,0,A,A,0,1
480,what has a subevent of getting drunk and has a prerequisite of bring money,go to pub | grocery shop | celebrating,0,A,A,0,1
481,what has a prerequisite of bring money and has a prerequisite of call friend,go to market | go to pub | chat with friends,1,A,A,0,0
482,what has a prerequisite of tools and has a subevent of get wet,repairing umbrella | fixing computer | have shower,0,C,C,2,0
