index,stem,choices,gold_label,model_reply,extracted_key,predicted_label,correct
0,A entellus and a basset are both a type of [MASK] ,mammal | primate | dog,0,C),C,2,0
296,A papyrus and a ergosterol are both a type of [MASK] ,alcohol | substance | organism,1,B) substance,B,1,1
297,A rauwolfia and a ergosterol are both a type of [MASK] ,organism | substance | alcohol,1,B) substance,B,1,1
298,A ergosterol and a phosphate are both a type of [MASK] ,alcohol | food | substance,2,A) alcohol,A,0,0
299,A phosphate and a lapin are both a type of [MASK] ,mammal | food | substance,2,C) substance,C,2,1
300,A lapin and a agar are both a type of [MASK] ,animal | food | substance,2,A) animal,A,0,0
301,A plasmodium and a agar are both a type of [MASK] ,food | organism | substance,2,C) substance,C,2,1
302,A pandanus and a agar are both a type of [MASK] ,food | substance | organism,1,B) substance,B,1,1
303,A agar and a cyclohexanol are both a type of [MASK] ,food | alcohol | substance,2,B),B,1,0
304,A cyclohexanol and a sumac are both a type of [MASK] ,alcohol | organism | substance,2,A) alcohol,A,0,0
305,A sumac and a cholesterol are both a type of [MASK] ,alcohol | substance | organism,1,B) substance,B,1,1
306,A flax and a cholesterol are both a type of [MASK] ,substance | organism | alcohol,0,A) substance,A,0,1
307,A hyacinth and a cholesterol are both a type of [MASK] ,substance | alcohol | organism,0,A) substance,A,0,1
308,A cholesterol and a teak are both a type of [MASK] ,substance | organism | alcohol,0,A,A,0,1
309,A teak and a bran are both a type of [MASK] ,organism | substance | food,1,C) food,C,2,0
310,A beech and a bran are both a type of [MASK] ,organism | food | substance,2,B) food,B,1,0
311,A balata and a bran are both a type of [MASK] ,organism | food | substance,2,B) food,B,1,0
312,A bran and a cinnabar are both a type of [MASK] ,substance | organism | food,0,A) substance,A,0,1
313,A cinnabar and a glycerol are both a type of [MASK] ,insect | substance | alcohol,1,B) substance,B,1,1
314,A glycerol and a logwood are both a type of [MASK] ,organism | alcohol | substance,2,C) substance,C,2,1
315,A logwood and a methanol are both a type of [MASK] ,alcohol | organism | substance,2,A) alcohol,A,0,0
316,A woad and a methanol are both a type of [MASK] ,organism | substance | alcohol,1,C) alcohol,C,2,0
317,A methanol and a larch are both a type of [MASK] ,substance | alcohol | organism,0,B) alcohol,B,1,0
318,A larch and a carbonado are both a type of [MASK] ,substance | food | organism,0,B) food,B,1,0
319,A kino and a carbonado are both a type of [MASK] ,meat | organism | substance,2,A) meat,A,0,0
320,A anil and a carbonado are both a type of [MASK] ,substance | food | organism,0,B) food,B,1,0
321,A poon and a carbonado are both a type of [MASK] ,organism | food | substance,2,B) food,B,1,0
322,A carbonado and a pecan are both a type of [MASK] ,substance | meat | organism,0,A) substance,A,0,1
323,A milt and a pecan are both a type of [MASK] ,substance | organism | food,0,C) food,C,2,0
324,A pecan and a nectar are both a type of [MASK] ,substance | organism | food,0,C) food,C,2,0
325,A kapok and a nectar are both a type of [MASK] ,organism | substance | food,1,B) substance,B,1,1
326,A rosewood and a nectar are both a type of [MASK] ,substance | organism | food,0,A) substance,A,0,1
327,A nectar and a eucalyptus are both a type of [MASK] ,organism | food | substance,2,C) substance,C,2,1
328,A eucalyptus and a diol are both a type of [MASK] ,organism | alcohol | substance,2,B) alcohol,B,1,0
329,A tupelo and a diol are both a type of [MASK] ,substance | organism | alcohol,0,C) alcohol,C,2,0
330,A diol and a satinwood are both a type of [MASK] ,alcohol | organism | substance,2,C) substance,C,2,1
331,A satinwood and a alcohol are both a type of [MASK] ,food | substance | organism,1,B) substance,B,1,1
332,A alcohol and a ermine are both a type of [MASK] ,food | substance | organism,1,B) substance,B,1,1
333,A ermine and a slop are both a type of [MASK] ,food | organism | substance,2,B) organism,B,1,0
334,A roan and a slop are both a type of [MASK] ,food | organism | substance,2,B) organism,B,1,0
335,A slop and a alder are both a type of [MASK] ,substance | food | organism,0,C) organism,C,2,0
336,A alder and a wafer are both a type of [MASK] ,food | substance | organism,1,A) food,A,0,0
337,A kauri and a wafer are both a type of [MASK] ,substance | food | organism,0,B) food,B,1,0
338,A wafer and a pyrethrum are both a type of [MASK] ,food | organism | substance,2,C) substance,C,2,1
339,A mocha and a pyrethrum are both a type of [MASK] ,organism | substance | food,1,B) substance,B,1,1
340,A mash and a pyrethrum are both a type of [MASK] ,food | organism | substance,2,C) substance,C,2,1
341,A pyrethrum and a sterol are both a type of [MASK] ,organism | substance | alcohol,1,B) substance,B,1,1
342,A sterol and a dogwood are both a type of [MASK] ,organism | substance | alcohol,1,A) organism,A,0,0
343,A propanol and a dogwood are both a type of [MASK] ,substance | organism | alcohol,0,B) organism,B,1,0
344,A dogwood and a salt are both a type of [MASK] ,substance | organism | food,0,A) substance,A,0,1
345,A hickory and a salt are both a type of [MASK] ,organism | substance | food,1,B) substance,B,1,1
346,A sisal and a salt are both a type of [MASK] ,substance | food | organism,0,A) substance,A,0,1
347,A marabou and a salt are both a type of [MASK] ,food | bird | substance,2,B) bird,B,1,0
348,A bamboo and a salt are both a type of [MASK] ,substance | food | organism,0,A) substance,A,0,1
349,A chamois and a salt are both a type of [MASK] ,food | organism | substance,2,C) substance,C,2,1
350,A hazel and a salt are both a type of [MASK] ,substance | food | organism,0,A) substance,A,0,1
351,A belladonna and a salt are both a type of [MASK] ,food | substance | organism,1,B) substance,B,1,1
352,A otter and a salt are both a type of [MASK] ,organism | substance | food,1,A) organism,A,0,0
353,A quassia and a salt are both a type of [MASK] ,substance | food | organism,0,A) substance,A,0,1
354,A kingwood and a salt are both a type of [MASK] ,organism | food | substance,2,C) substance,C,2,1
355,A blackwood and a salt are both a type of [MASK] ,organism | substance | food,1,B) substance,B,1,1
356,A cypress and a salt are both a type of [MASK] ,substance | food | organism,0,A) substance,A,0,1
357,A yew and a salt are both a type of [MASK] ,food | organism | substance,2,C) substance,C,2,1
358,A balsa and a salt are both a type of [MASK] ,substance | food | organism,0,A) substance,A,0,1
359,A maple and a salt are both a type of [MASK] ,substance | organism | food,0,A) substance,A,0,1
360,A salt and a chestnut are both a type of [MASK] ,food | substance | organism,1,A) food,A,0,0
361,A vinegar and a chestnut are both a type of [MASK] ,food | organism | substance,2,A) food,A,0,0
362,A chestnut and a liquor are both a type of [MASK] ,alcohol | organism | substance,2,A) alcohol,A,0,0
363,A haddock and a myna are both a type of [MASK] ,bird | fish | animal,2,B) fish,B,1,0
364,A barbet and a andrena are both a type of [MASK] ,insect | bird | animal,2,A) insect,A,0,0
365,A eagle and a weakfish are both a type of [MASK] ,animal | bird | food,0,A) animal,A,0,1
366,A pompon and a andrena are both a type of [MASK] ,fish | animal | bee,1,C) bee,C,2,0
367,A myna and a andrena are both a type of [MASK] ,animal | bird | insect,0,C) insect,C,2,0
368,A andrena and a mare are both a type of [MASK] ,animal | mammal | bee,0,C) bee,C,2,0
369,A mare and a redstart are both a type of [MASK] ,mammal | animal | bird,1,C) bird,C,2,0
370,A weakfish and a redstart are both a type of [MASK] ,bird | food | animal,2,A) bird,A,0,0
371,A bowfin and a redstart are both a type of [MASK] ,animal | fish | bird,0,B) fish,B,1,0
372,A redstart and a beluga are both a type of [MASK] ,bird | fish | animal,2,A) bird,A,0,0
373,A manta and a entellus are both a type of [MASK] ,fish | animal | mammal,1,A) fish,A,0,0
374,A guan and a halibut are both a type of [MASK] ,animal | bird | food,0,A) animal,A,0,1
375,A halibut and a guillemot are both a type of [MASK] ,bird | fish | animal,2,B) fish,B,1,0
376,A entellus and a guillemot are both a type of [MASK] ,bird | primate | animal,2,A) bird,A,0,0
377,A cedar waxwing and a chaetodon are both a type of [MASK] ,bird | fish | animal,2,A) bird,A,0,0
378,A guillemot and a mustang are both a type of [MASK] ,animal | mammal | bird,0,C) bird,C,2,0
379,A chaetodon and a scarab are both a type of [MASK] ,fish | animal | insect,1,A) fish,A,0,0
380,A paca and a scarab are both a type of [MASK] ,mammal | animal | beetle,1,C) beetle,C,2,0
381,A scarab and a domestic fowl are both a type of [MASK] ,animal | bird | beetle,0,C) beetle,C,2,0
382,A domestic fowl and a wapiti are both a type of [MASK] ,mammal | bird | animal,2,C) animal,C,2,1
383,A mustang and a beluga are both a type of [MASK] ,animal | mammal | fish,0,B) mammal,B,1,0
384,A skua and a wapiti are both a type of [MASK] ,animal | bird | deer,0,C) deer,C,2,0
385,A wapiti and a largemouth are both a type of [MASK] ,mammal | animal | fish,1,C) fish,C,2,0
386,A red deer and a turbot are both a type of [MASK] ,mammal | animal | food,1,A) mammal,A,0,0
387,A turbot and a bongo are both a type of [MASK] ,mammal | animal | food,1,C) food,C,2,0
388,A parakeet and a beluga are both a type of [MASK] ,bird | animal | fish,1,A) bird,A,0,0
389,A monarch and a solitaire are both a type of [MASK] ,animal | bird | insect,0,B) bird,B,1,0
390,A skink and a linnet are both a type of [MASK] ,lizard | finch | animal,2,A) lizard,A,0,0
391,A bongo and a beluga are both a type of [MASK] ,mammal | fish | animal,2,A) mammal,A,0,0
392,A beluga and a solitaire are both a type of [MASK] ,fish | bird | animal,2,A) fish,A,0,0
393,A largemouth and a solitaire are both a type of [MASK] ,bird | fish | animal,2,B),B,1,0
394,A muskellunge and a solitaire are both a type of [MASK] ,animal | fish | bird,0,B) fish,B,1,0
395,A maigre and a budgerigar are both a type of [MASK] ,bird | animal | fish,1,A) bird,A,0,0
396,A solitaire and a impala are both a type of [MASK] ,mammal | bird | animal,2,A) mammal,A,0,0
397,A moorcock and a cero are both a type of [MASK] ,animal | bird | fish,0,B) bird,B,1,0
398,A piranha and a dingo are both a type of [MASK] ,fish | animal | mammal,1,B) animal,B,1,1
399,A linnet and a cobia are both a type of [MASK] ,fish | bird | animal,2,A) fish,A,0,0
400,A cicada and a cobia are both a type of [MASK] ,animal | fish | insect,0,B) fish,B,1,0
401,A cero and a budgerigar are both a type of [MASK] ,fish | animal | parrot,1,C) parrot,C,2,0
402,A cobia and a hoopoe are both a type of [MASK] ,animal | fish | bird,0,C,C,2,0
403,A hoopoe and a walking stick are both a type of [MASK] ,insect | animal | bird,1,C) bird,C,2,0
404,A budgerigar and a hind are both a type of [MASK] ,parrot | animal | deer,1,A) parrot,A,0,0
405,A hind and a bufo are both a type of [MASK] ,deer | frog | animal,2,B),B,1,0
406,A bufo and a pika are both a type of [MASK] ,animal | mammal | frog,0,A) animal,A,0,1
407,A dingo and a scoter are both a type of [MASK] ,mammal | animal | bird,1,A) mammal,A,0,0
408,A impala and a underwing are both a type of [MASK] ,mammal | insect | animal,2,A) mammal,A,0,0
409,A ocelot and a shoveler are both a type of [MASK] ,bird | animal | mammal,1,B) animal,B,1,1
410,A walking stick and a shoveler are both a type of [MASK] ,bird | animal | insect,1,B) animal,B,1,1
411,A pinscher and a scoter are both a type of [MASK] ,duck | mammal | animal,2,B) mammal,B,1,0
412,A escolar and a imago are both a type of [MASK] ,insect | fish | animal,2,B) fish,B,1,0
413,A scoter and a pika are both a type of [MASK] ,duck | animal | mammal,1,C) mammal,C,2,0
414,A pika and a imago are both a type of [MASK] ,animal | mammal | insect,0,C),C,2,0
415,A imago and a argentine are both a type of [MASK] ,insect | fish | animal,2,A),A,0,0
416,A shoveler and a comma are both a type of [MASK] ,animal | duck | insect,0,B) duck,B,1,0
417,A underwing and a giraffe are both a type of [MASK] ,animal | mammal | insect,0,A) animal,A,0,1
418,A mayfly and a gar are both a type of [MASK] ,animal | fish | insect,0,B),B,1,0
419,A giraffe and a agua are both a type of [MASK] ,mammal | animal | frog,1,A) mammal,A,0,0
420,A gar and a ern are both a type of [MASK] ,fish | animal | bird,1,B) animal,B,1,1
421,A kudu and a smallmouth are both a type of [MASK] ,fish | mammal | animal,2,B) mammal,B,1,0
422,A comma and a agua are both a type of [MASK] ,animal | frog | insect,0,B),B,1,0
423,A loligo and a polecat are both a type of [MASK] ,mammal | animal | squid,1,A) mammal,A,0,0
424,A argentine and a agua are both a type of [MASK] ,frog | fish | animal,2,A),A,0,0
425,A agua and a mouflon are both a type of [MASK] ,animal | frog | mammal,0,C) mammal,C,2,0
426,A archaeopteryx and a walrus are both a type of [MASK] ,mammal | bird | animal,2,A,A,0,0
427,A lapin and a sheepshead are both a type of [MASK] ,substance | fish | animal,2,B) fish,B,1,0
428,A brant and a mouflon are both a type of [MASK] ,animal | mammal | bird,0,B) mammal,B,1,0
429,A polecat and a marabou are both a type of [MASK] ,animal | mammal | substance,0,A) animal,A,0,1
430,A mouflon and a ern are both a type of [MASK] ,animal | bird | mammal,0,C) mammal,C,2,0
431,A sheepshead and a bat are both a type of [MASK] ,animal | mammal | fish,0,C) fish,C,2,0
432,A smallmouth and a walrus are both a type of [MASK] ,mammal | animal | fish,1,A) mammal,A,0,0
433,A bat and a serin are both a type of [MASK] ,mammal | bird | animal,2,B) bird,B,1,0
434,A frank and a chicken are both a type of [MASK] ,meat | sausage | bird,0,C) bird,C,2,0
435,A poultry and a beef are both a type of [MASK] ,meat | bird | mammal,0,A) meat,A,0,1
436,A chorizo and a beef are both a type of [MASK] ,animal | meat | sausage,1,C) sausage,C,2,0
437,A chicken and a banger are both a type of [MASK] ,sausage | animal | meat,2,A) sausage,A,0,0
438,A beef and a bologna are both a type of [MASK] ,meat | animal | sausage,0,C) sausage,C,2,0
439,A capon and a carbonado are both a type of [MASK] ,bird | substance | meat,2,C) meat,C,2,1
440,A carbonado and a bologna are both a type of [MASK] ,substance | sausage | meat,2,B) sausage,B,1,0
441,A grouse and a souse are both a type of [MASK] ,bird | meat | sausage,1,A) bird,A,0,0
442,A bologna and a partridge are both a type of [MASK] ,sausage | bird | meat,2,B) bird,B,1,0
443,A wildfowl and a bratwurst are both a type of [MASK] ,meat | bird | sausage,0,C) sausage,C,2,0
444,A souse and a squab are both a type of [MASK] ,bird | meat | sausage,1,A) bird,A,0,0
445,A broiler and a banger are both a type of [MASK] ,bird | sausage | meat,2,B) sausage,B,1,0
446,A squab and a pepperoni are both a type of [MASK] ,bird | meat | sausage,1,C),C,2,0
447,A fryer and a banger are both a type of [MASK] ,meat | sausage | bird,0,B),B,1,0
448,A pepperoni and a duckling are both a type of [MASK] ,sausage | organism | meat,2,B),B,1,0
449,A banger and a pheasant are both a type of [MASK] ,meat | bird | sausage,0,B) bird,B,1,0
450,A salami and a quail are both a type of [MASK] ,sausage | meat | animal,1,B) meat,B,1,1
451,A andrena and a grasshopper are both a type of [MASK] ,insect | bee | alcohol,0,A),A,0,1
452,A scarab and a goldeneye are both a type of [MASK] ,duck | insect | beetle,1,C),C,2,0
453,A ladybug and a grasshopper are both a type of [MASK] ,insect | alcohol | beetle,0,A),A,0,1
454,A goldeneye and a grasshopper are both a type of [MASK] ,alcohol | insect | bird,1,B),B,1,1
455,A weevil and a peacock are both a type of [MASK] ,bird | beetle | insect,2,C),C,2,1
456,A peacock and a firefly are both a type of [MASK] ,beetle | bird | insect,2,C),C,2,1
457,A pompon and a silver salmon are both a type of [MASK] ,food | fish | organism,1,B) fish,B,1,1
458,A bowfin and a silver salmon are both a type of [MASK] ,animal | food | fish,2,C) fish,C,2,1
459,A manta and a silver salmon are both a type of [MASK] ,food | fish | animal,1,B) fish,B,1,1
460,A chaetodon and a silver salmon are both a type of [MASK] ,animal | food | fish,2,C) fish,C,2,1
461,A turbot and a hind are both a type of [MASK] ,fish | mammal | food,0,A) fish,A,0,1
462,A beluga and a silver salmon are both a type of [MASK] ,animal | fish | food,1,B) fish,B,1,1
463,A largemouth and a silver salmon are both a type of [MASK] ,fish | animal | food,0,A) fish,A,0,1
464,A maigre and a silver salmon are both a type of [MASK] ,fish | food | organism,0,A) fish,A,0,1
465,A piranha and a silver salmon are both a type of [MASK] ,organism | food | fish,2,C) fish,C,2,1
466,A cero and a silver salmon are both a type of [MASK] ,fish | food | organism,0,A) fish,A,0,1
467,A cobia and a silver salmon are both a type of [MASK] ,organism | fish | food,1,B) fish,B,1,1
468,A hind and a whitebait are both a type of [MASK] ,food | mammal | fish,2,C) fish,C,2,1
469,A escolar and a silver salmon are both a type of [MASK] ,organism | food | fish,2,C) fish,C,2,1
470,A gar and a silver salmon are both a type of [MASK] ,animal | fish | food,1,B) fish,B,1,1
471,A argentine and a silver salmon are both a type of [MASK] ,animal | food | fish,2,C) fish,C,2,1
472,A sheepshead and a silver salmon are both a type of [MASK] ,fish | food | animal,0,A) fish,A,0,1
473,A smallmouth and a silver salmon are both a type of [MASK] ,organism | fish | food,1,B) fish,B,1,1
474,A margate and a silver salmon are both a type of [MASK] ,food | animal | fish,2,C) fish,C,2,1
475,A ganoid and a silver salmon are both a type of [MASK] ,animal | food | fish,2,C) fish,C,2,1
476,A barracuda and a silver salmon are both a type of [MASK] ,organism | food | fish,2,C) fish,C,2,1
477,A blenny and a silver salmon are both a type of [MASK] ,organism | fish | food,1,B) fish,B,1,1
478,A mako and a silver salmon are both a type of [MASK] ,animal | fish | food,1,B) fish,B,1,1
479,A tench and a silver salmon are both a type of [MASK] ,organism | fish | food,1,B) fish,B,1,1
480,A pumpkinseed and a silver salmon are both a type of [MASK] ,food | fish | organism,1,B) fish,B,1,1
481,A sparling and a silver salmon are both a type of [MASK] ,food | fish | animal,1,B) fish,B,1,1
482,A cisco and a silver salmon are both a type of [MASK] ,food | animal | fish,2,C) fish,C,2,1
483,A capelin and a silver salmon are both a type of [MASK] ,organism | fish | food,1,B) fish,B,1,1
484,A remora and a silver salmon are both a type of [MASK] ,organism | food | fish,2,C) fish,C,2,1
485,A tautog and a silver salmon are both a type of [MASK] ,food | fish | organism,1,B) fish,B,1,1
486,A puffer and a silver salmon are both a type of [MASK] ,animal | fish | food,1,B) fish,B,1,1
487,A yellowfin and a silver salmon are both a type of [MASK] ,fish | animal | food,0,A) fish,A,0,1
488,A amberjack and a silver salmon are both a type of [MASK] ,food | organism | fish,2,C) fish,C,2,1
489,A barbu and a silver salmon are both a type of [MASK] ,food | animal | fish,2,C) fish,C,2,1
490,A salmonid and a silver salmon are both a type of [MASK] ,fish | animal | food,0,A) fish,A,0,1
491,A goby and a silver salmon are both a type of [MASK] ,organism | fish | food,1,B) fish,B,1,1
492,A walleye and a silver salmon are both a type of [MASK] ,animal | fish | food,1,B) fish,B,1,1
493,A liza and a silver salmon are both a type of [MASK] ,food | animal | fish,2,C) fish,C,2,1
494,A barracouta and a silver salmon are both a type of [MASK] ,animal | food | fish,2,C) fish,C,2,1
495,A bigeye and a silver salmon are both a type of [MASK] ,fish | food | organism,0,A) fish,A,0,1
496,A thresher and a silver salmon are both a type of [MASK] ,fish | food | organism,0,A) fish,A,0,1
497,A loach and a silver salmon are both a type of [MASK] ,animal | food | fish,2,C) fish,C,2,1
498,A sculpin and a silver salmon are both a type of [MASK] ,fish | organism | food,0,A) fish,A,0,1
499,A wrasse and a silver salmon are both a type of [MASK] ,food | animal | fish,2,C) fish,C,2,1
500,A seahorse and a silver salmon are both a type of [MASK] ,food | fish | animal,1,B) fish,B,1,1
501,A burbot and a silver salmon are both a type of [MASK] ,organism | fish | food,1,B) fish,B,1,1
502,A stickleback and a silver salmon are both a type of [MASK] ,animal | food | fish,2,C),C,2,1
503,A sturgeon and a silver salmon are both a type of [MASK] ,organism | fish | food,1,B) fish,B,1,1
504,A gudgeon and a silver salmon are both a type of [MASK] ,food | fish | animal,1,B) fish,B,1,1
505,A tetra and a silver salmon are both a type of [MASK] ,organism | food | fish,2,C) fish,C,2,1
506,A grenadier and a silver salmon are both a type of [MASK] ,food | organism | fish,2,C) fish,C,2,1
507,A sea bream and a silver salmon are both a type of [MASK] ,food | fish | animal,1,B) fish,B,1,1
508,A bluegill and a silver salmon are both a type of [MASK] ,fish | food | organism,0,A) fish,A,0,1
509,A coelacanth and a silver salmon are both a type of [MASK] ,fish | animal | food,0,A) fish,A,0,1
510,A coney and a silver salmon are both a type of [MASK] ,food | organism | fish,2,C) fish,C,2,1
511,A cichlid and a silver salmon are both a type of [MASK] ,fish | animal | food,0,A) fish,A,0,1
512,A pomfret and a silver salmon are both a type of [MASK] ,food | fish | organism,1,B) fish,B,1,1
513,A red drum and a silver salmon are both a type of [MASK] ,animal | fish | food,1,B),B,1,1
514,A parr and a silver salmon are both a type of [MASK] ,organism | fish | food,1,B) fish,B,1,1
515,A menhaden and a silver salmon are both a type of [MASK] ,food | organism | fish,2,C) fish,C,2,1
516,A moray and a silver salmon are both a type of [MASK] ,fish | food | animal,0,A) fish,A,0,1
517,A scrod and a silver salmon are both a type of [MASK] ,fish | food | animal,0,A) fish,A,0,1
518,A silver salmon and a coho are both a type of [MASK] ,food | organism | fish,2,C) fish,C,2,1
519,A coho and a red salmon are both a type of [MASK] ,food | organism | fish,2,C) fish,C,2,1
520,A bullhead and a red salmon are both a type of [MASK] ,food | animal | fish,2,C) fish,C,2,1
521,A codling and a red salmon are both a type of [MASK] ,food | fish | animal,1,B) fish,B,1,1
522,A chub and a red salmon are both a type of [MASK] ,food | organism | fish,2,C) fish,C,2,1
523,A skipjack and a red salmon are both a type of [MASK] ,fish | animal | food,0,A),A,0,1
524,A marlin and a red salmon are both a type of [MASK] ,food | animal | fish,2,C) fish,C,2,1
525,A windowpane and a red salmon are both a type of [MASK] ,organism | food | fish,2,B) food,B,1,0
526,A tarpon and a red salmon are both a type of [MASK] ,fish | animal | food,0,A) fish,A,0,1
527,A fingerling and a red salmon are both a type of [MASK] ,animal | food | fish,2,C) fish,C,2,1
528,A falafel and a haddock are both a type of [MASK] ,food | dish | animal,0,A) food,A,0,1
529,A haddock and a rickey are both a type of [MASK] ,food | alcohol | fish,0,C) fish,C,2,0
530,A rickey and a frank are both a type of [MASK] ,sausage | alcohol | food,2,A),A,0,0
531,A frank and a squid are both a type of [MASK] ,food | animal | meat,0,B) animal,B,1,0
532,A squid and a kava are both a type of [MASK] ,organism | food | alcohol,1,A) organism,A,0,0
533,A kava and a macaroni are both a type of [MASK] ,food | pasta | alcohol,0,A) food,A,0,1
534,A macaroni and a leg of lamb are both a type of [MASK] ,food | meat | pasta,0,C) pasta,C,2,0
535,A leg of lamb and a weakfish are both a type of [MASK] ,meat | animal | food,2,A) meat,A,0,0
536,A weakfish and a moussaka are both a type of [MASK] ,dish | food | animal,1,B) food,B,1,1
537,A borsch and a banquet are both a type of [MASK] ,meal | dish | food,2,A) meal,A,0,0
538,A moussaka and a banquet are both a type of [MASK] ,food | dish | meal,0,A) food,A,0,1
539,A banquet and a brew are both a type of [MASK] ,meal | alcohol | food,2,A),A,0,0
540,A brew and a succotash are both a type of [MASK] ,dish | food | alcohol,1,B) food,B,1,1
541,A succotash and a mascarpone are both a type of [MASK] ,cheese | dish | food,2,B) dish,B,1,0
542,A teriyaki and a mascarpone are both a type of [MASK] ,dish | cheese | food,2,C) food,C,2,1
543,A mascarpone and a metheglin are both a type of [MASK] ,food | alcohol | cheese,0,C) cheese,C,2,0
544,A metheglin and a confit are both a type of [MASK] ,meat | food | alcohol,1,A) meat,A,0,0
545,A confit and a turbot are both a type of [MASK] ,meat | food | animal,1,B) food,B,1,1
546,A poultry and a turbot are both a type of [MASK] ,fish | food | bird,1,C) bird,C,2,0
547,A prosciutto and a turbot are both a type of [MASK] ,organism | food | meat,1,B) food,B,1,1
548,A turbot and a chorizo are both a type of [MASK] ,food | sausage | organism,0,B) sausage,B,1,0
549,A chorizo and a celeriac are both a type of [MASK] ,food | sausage | organism,0,A) food,A,0,1
550,A celeriac and a adobo are both a type of [MASK] ,food | organism | dish,0,C) dish,C,2,0
551,A adobo and a muskellunge are both a type of [MASK] ,animal | food | dish,1,B) food,B,1,1
552,A muskellunge and a zinfandel are both a type of [MASK] ,food | alcohol | organism,0,B) alcohol,B,1,0
553,A zinfandel and a ricotta are both a type of [MASK] ,food | cheese | alcohol,0,B) cheese,B,1,0
554,A ricotta and a ratafia are both a type of [MASK] ,alcohol | cheese | food,2,B) cheese,B,1,0
555,A ratafia and a souffle are both a type of [MASK] ,alcohol | dish | food,2,B) dish,B,1,0
556,A souffle and a schnapps are both a type of [MASK] ,dish | food | alcohol,1,C) alcohol,C,2,0
557,A julienne and a schnapps are both a type of [MASK] ,alcohol | dish | food,2,A) alcohol,A,0,0
558,A schnapps and a fettuccine are both a type of [MASK] ,food | pasta | alcohol,0,B) pasta,B,1,0
559,A macon and a fettuccine are both a type of [MASK] ,pasta | food | alcohol,1,A) pasta,A,0,0
560,A fettuccine and a nipa are both a type of [MASK] ,food | alcohol | pasta,0,C) pasta,C,2,0
561,A nipa and a whey are both a type of [MASK] ,substance | alcohol | food,2,C) food,C,2,1
562,A whey and a fondant are both a type of [MASK] ,substance | candy | food,2,C) food,C,2,1
563,A fondant and a fennel are both a type of [MASK] ,food | candy | organism,0,A) food,A,0,1
564,A fennel and a linguine are both a type of [MASK] ,pasta | organism | food,2,A) pasta,A,0,0
565,A linguine and a rotgut are both a type of [MASK] ,pasta | alcohol | food,2,B) alcohol,B,1,0
566,A rotgut and a potage are both a type of [MASK] ,food | alcohol | soup,0,C) soup,C,2,0
567,A potage and a koumiss are both a type of [MASK] ,soup | alcohol | food,2,A) soup,A,0,0
568,A sushi and a koumiss are both a type of [MASK] ,food | alcohol | dish,0,A) food,A,0,1
569,A koumiss and a spinach are both a type of [MASK] ,alcohol | food | organism,1,B),B,1,1
570,A spinach and a bourbon are both a type of [MASK] ,food | alcohol | organism,0,B) alcohol,B,1,0
571,A porgy and a chicken are both a type of [MASK] ,food | fish | bird,0,C) bird,C,2,0
572,A chicken and a bourbon are both a type of [MASK] ,alcohol | organism | food,2,C) food,C,2,1
573,A bourbon and a hardtack are both a type of [MASK] ,alcohol | food | organism,1,B) food,B,1,1
574,A hardtack and a phosphate are both a type of [MASK] ,substance | organism | food,2,C) food,C,2,1
575,A phosphate and a barley are both a type of [MASK] ,food | organism | substance,0,A) food,A,0,1
576,A barley and a champagne are both a type of [MASK] ,organism | alcohol | food,2,B) alcohol,B,1,0
577,A champagne and a zabaglione are both a type of [MASK] ,food | alcohol | dessert,0,C) dessert,C,2,0
578,A julep and a zabaglione are both a type of [MASK] ,food | dessert | alcohol,0,B) dessert,B,1,0
579,A zabaglione and a parsley are both a type of [MASK] ,dessert | organism | food,2,C) food,C,2,1
580,A parsley and a lunch are both a type of [MASK] ,food | meal | organism,0,A) food,A,0,1
581,A sassafras and a lunch are both a type of [MASK] ,meal | food | organism,1,B) food,B,1,1
582,A lunch and a pilaf are both a type of [MASK] ,dish | food | meal,1,A) dish,A,0,0
583,A pilaf and a chitterlings are both a type of [MASK] ,meat | food | dish,1,B) food,B,1,1
584,A chitterlings and a agar are both a type of [MASK] ,food | meat | substance,0,A) food,A,0,1
585,A halal and a agar are both a type of [MASK] ,meat | substance | food,2,C) food,C,2,1
586,A agar and a nougat are both a type of [MASK] ,food | substance | candy,0,C) candy,C,2,0
587,A nougat and a gorgonzola are both a type of [MASK] ,food | candy | cheese,0,C) cheese,C,2,0
588,A gorgonzola and a poteen are both a type of [MASK] ,alcohol | food | cheese,1,C) cheese,C,2,0
589,A poteen and a bonito are both a type of [MASK] ,food | alcohol | organism,0,C) organism,C,2,0
590,A bonito and a raita are both a type of [MASK] ,dish | food | organism,1,B) food,B,1,1
591,A raita and a taffy are both a type of [MASK] ,food | dish | candy,0,C) candy,C,2,0
592,A taffy and a bleu are both a type of [MASK] ,cheese | candy | food,2,B) candy,B,1,0
593,A bleu and a kummel are both a type of [MASK] ,cheese | alcohol | food,2,B) alcohol,B,1,0
594,A kummel and a ratatouille are both a type of [MASK] ,alcohol | food | dish,1,B) food,B,1,1
595,A ratatouille and a applejack are both a type of [MASK] ,alcohol | food | dish,1,A) alcohol,A,0,0
596,A applejack and a flummery are both a type of [MASK] ,dessert | alcohol | food,2,A) dessert,A,0,0
597,A flummery and a turmeric are both a type of [MASK] ,food | organism | dessert,0,A) food,A,0,1
598,A turmeric and a bisque are both a type of [MASK] ,food | organism | dish,0,C) dish,C,2,0
